zipcode,latitude,longitude,state,population,2015,2016,2017,2018,2019,2020,2021,2022,2023,Net_Income,bedroom_number,bathroom_number,living_space,land_space
75057,33.05012,-96.9772,TX,16855,142923.526,161970.5834,179971.8234,200847.2375,210221.8948,222033.826,250995.533,300690.4846,308760.3496,38202,3,3,1541,5001
75058,33.4473,-96.73546,TX,3369,255161.3584,282344.2004,316005.0031,348848.6323,370600.2882,396397.671,468960.371,576827.1054,605239.5976,5226,4,4,3271,1
75060,32.79774,-96.95295,TX,49473,120757.5726,137344.4426,155802.7382,173229.8656,186149.019,202000.7457,229199.8533,273738.1596,283301.0431,122990,3,2,1822,4498
75061,32.82607,-96.96563,TX,56959,125530.6704,142185.3232,160691.3006,182058.9154,195306.7602,209741.6943,238380.9213,280426.5202,287697.3439,149891,3,3,1977,5981
75062,32.847,-96.95813,TX,51846,131539.7205,149235.7564,171930.5373,194646.9844,206800.5674,220159.8707,248116.637,291309.1914,297069.4543,131598,3,2,1992,5283
75063,32.90797,-96.9961,TX,43705,334569.8245,357156.286,376060.8813,390414.5598,393473.8059,406633.6523,458117.6565,562247.53,582116.8962,46887,4,3,2633,4691
75065,33.11108,-97.01277,TX,12549,184535.6881,205808.9643,226475.6563,246292.2896,255848.9106,268516.2368,313244.8034,379379.4408,386037.1416,22331,3,3,2368,6072
75067,33.01416,-97.00268,TX,67837,182188.5636,204154.8317,224496.0646,243493.1604,249477.5208,259135.0354,293884.2182,355547.0665,363508.7441,156952,3,3,1950,4739
75068,33.17713,-96.95228,TX,65880,227663.9426,251459.9019,270048.8376,281385.6999,281224.5034,286430.732,342687.5768,434543.0067,424275.9679,78585,4,3,2550,6083
75069,33.16805,-96.59671,TX,37479,225941.5517,253125.155,276333.9709,291156.5615,295511.3514,305018.4673,357051.0606,437391.2846,441116.9783,82779,3,3,2483,3786
75070,33.15587,-96.69742,TX,54444,273185.4543,297036.9979,315071.8234,321895.0308,319403.1856,326795.5516,390126.3395,498136.3639,497728.0329,119662,4,3,2695,4974
75071,33.24558,-96.62951,TX,63828,273492.1963,299837.9957,317470.3713,324852.5704,324796.7508,333792.3703,402269.5502,519700.5308,514455.3972,68263,4,3,2711,5332
75074,33.03298,-96.67304,TX,51820,188369.0551,212944.6806,236210.9693,250852.8816,254475.0234,262595.7643,300320.0027,362807.0934,373441.6352,108382,4,3,2073,6524
75075,33.02163,-96.74043,TX,36221,237566.8141,263530.971,286829.4879,300222.5077,302639.7385,313729.9005,359784.2968,431618.3615,444566.1545,62325,3,3,2105,5455
75076,33.79608,-96.71913,TX,8592,150813.2271,162112.8893,174948.1305,190273.3354,201694.0196,217205.6996,256577.9893,307232.0679,319110.1781,14917,3,2,1981,1636
75077,33.07921,-97.06401,TX,39125,251493.1241,274277.2679,294834.7068,312367.7701,319064.3112,333401.6488,381525.8255,458683.6745,472659.5695,53014,4,3,2539,3895
75078,33.24526,-96.80791,TX,35939,394088.5789,420748.8248,436190.8428,442613.5016,443186.7651,457108.4621,564019.2906,749600.9789,739581.5887,21114,4,4,3567,3594
75080,32.97382,-96.7416,TX,52420,216891.9505,246045.715,274071.5387,295573.3423,301891.8135,314211.9668,351709.5738,409807.854,428009.569,75634,3,3,2206,5641
75081,32.94969,-96.70899,TX,36683,181574.1243,212286.3675,238104.2925,258431.5823,264426.0852,275728.7874,311934.3164,371048.0854,383997.1305,74388,4,3,2329,5568
75082,32.99208,-96.66536,TX,26801,301213.0373,327651.1733,349994.2447,363295.5966,366504.6993,376670.9146,432792.7217,529206.2311,543234.2318,29406,4,3,3128,6607
75087,32.94581,-96.44136,TX,39202,241399.2392,263598.4566,283523.9931,296382.615,300759.5889,310621.8778,364806.3353,448186.8649,448117.652,45158,4,3,2770,5827
75089,32.93195,-96.54435,TX,35203,189931.0319,215669.844,238574.3225,254599.3065,258819.2583,266978.1858,311006.9864,384361.8359,391991.4257,53776,4,3,2471,5691
75090,33.6054,-96.54657,TX,24866,81551.95004,89875.50016,101994.3104,120762.5313,127940.4812,135217.6743,160472.6914,190923.0087,198433.968,60066,3,2,1835,4117
75092,33.64869,-96.70011,TX,26794,137367.3879,151729.273,168172.1811,185329.1021,192599.8493,202038.9537,235124.9315,280296.3698,289346.2041,50849,4,3,2319,3062
75093,33.03521,-96.80943,TX,46868,398887.404,424743.4064,445172.2033,457433.8491,458550.3214,469446.545,538407.6976,657867.1185,685758.2712,59338,4,4,3583,5705
75094,33.01871,-96.61481,TX,23345,313254.9554,337570.9123,355893.1946,364783.8792,367471.858,378374.1136,447513.2139,558993.3767,569645.6743,24872,4,3,3164,2811
