zipcode,latitude,longitude,state,population,bedroom_number,bathroom_number,living_space,land_space,year_built,2015,2016,2017,2018,2019,2020,2021,2022,2023,net_income,2024
75063,32.90797,-96.9961,TX,43705,4,3,2633,4691,1994,334569.82,357156.29,376060.88,390414.56,393473.81,406633.65,458117.66,562247.53,582116.9,46887,579632.86
75065,33.11108,-97.01277,TX,12549,3,3,2368,6072,1954,184535.69,205808.96,226475.66,246292.29,255848.91,268516.24,313244.8,379379.44,386037.14,22331,382804.97
75067,33.01416,-97.00268,TX,67837,3,3,1950,4739,1953,182188.56,204154.83,224496.06,243493.16,249477.52,259135.04,293884.22,355547.07,363508.74,156952,368949.68
75068,33.17713,-96.95228,TX,65880,4,3,2550,6083,1955,227663.94,251459.9,270048.84,281385.7,281224.5,286430.73,342687.58,434543.01,424275.97,78585,437596.01
75069,33.16805,-96.59671,TX,37479,3,3,2483,3786,1965,225941.55,253125.16,276333.97,291156.56,295511.35,305018.47,357051.06,437391.28,441116.98,82779,444081.32
75070,33.15587,-96.69742,TX,54444,4,3,2695,4974,1959,273185.45,297037,315071.82,321895.03,319403.19,326795.55,390126.34,498136.36,497728.03,119662,513017.07
75071,33.24558,-96.62951,TX,63828,4,3,2711,5332,1983,273492.2,299838,317470.37,324852.57,324796.75,333792.37,402269.55,519700.53,514455.4,68263,524009.88
75074,33.03298,-96.67304,TX,51820,4,3,2073,6524,1975,188369.06,212944.68,236210.97,250852.88,254475.02,262595.76,300320,362807.09,373441.64,108382,374029.87
75075,33.02163,-96.74043,TX,36221,3,3,2105,5455,1959,237566.81,263530.97,286829.49,300222.51,302639.74,313729.9,359784.3,431618.36,444566.15,62325,437012.87
75076,33.79608,-96.71913,TX,8592,3,2,1981,1636,2005,150813.23,162112.89,174948.13,190273.34,201694.02,217205.7,256577.99,307232.07,319110.18,14917,306090.61
75077,33.07921,-97.06401,TX,39125,4,3,2539,3895,2003,251493.12,274277.27,294834.71,312367.77,319064.31,333401.65,381525.83,458683.67,472659.57,53014,466308.23
75078,33.24526,-96.80791,TX,35939,4,4,3567,3594,2006,394088.58,420748.82,436190.84,442613.5,443186.77,457108.46,564019.29,749600.98,739581.59,21114,760767.27
75080,32.97382,-96.7416,TX,52420,3,3,2206,5641,1920,216891.95,246045.72,274071.54,295573.34,301891.81,314211.97,351709.57,409807.85,428009.57,75634,412259.43
75081,32.94969,-96.70899,TX,36683,4,3,2329,5568,1966,181574.12,212286.37,238104.29,258431.58,264426.09,275728.79,311934.32,371048.09,383997.13,74388,380309.87
75082,32.99208,-96.66536,TX,26801,4,3,3128,6607,1997,301213.04,327651.17,349994.24,363295.6,366504.7,376670.91,432792.72,529206.23,543234.23,29406,540162.19
75087,32.94581,-96.44136,TX,39202,4,3,2770,5827,1934,241399.24,263598.46,283523.99,296382.61,300759.59,310621.88,364806.34,448186.86,448117.65,45158,451778.29
75089,32.93195,-96.54435,TX,35203,4,3,2471,5691,1963,189931.03,215669.84,238574.32,254599.31,258819.26,266978.19,311006.99,384361.84,391991.43,53776,392183.58
75090,33.6054,-96.54657,TX,24866,3,2,1835,4117,1981,81551.95,89875.5,101994.31,120762.53,127940.48,135217.67,160472.69,190923.01,198433.97,60066,193141.79
75092,33.64869,-96.70011,TX,26794,4,3,2319,3062,1955,137367.39,151729.27,168172.18,185329.1,192599.85,202038.95,235124.93,280296.37,289346.2,50849,286129.05
75093,33.03521,-96.80943,TX,46868,4,4,3583,5705,1964,398887.4,424743.41,445172.2,457433.85,458550.32,469446.55,538407.7,657867.12,685758.27,59338,673091.88
75094,33.01871,-96.61481,TX,23345,4,3,3164,2811,1999,313254.96,337570.91,355893.19,364783.88,367471.86,378374.11,447513.21,558993.38,569645.67,24872,567223.22
75098,33.01432,-96.53531,TX,64326,4,3,2756,5932,2004,210874.32,237030.7,260482.61,274055.15,277330.13,286927.75,338422.65,422456.51,424269.43,92279,427182.39
75103,32.51201,-95.88363,TX,15900,3,2,2215,1174,2006,149899.7,157664.09,172111.35,186783.06,200317.45,218790.23,257508.94,295921.07,292338.08,27534,289919.51
75104,32.58295,-96.96712,TX,49566,4,3,3222,3390,1972,141743.35,157799.1,175707.3,194773.72,207818.83,220211.75,257959.18,314139.83,316922.07,103520,321548.74
75110,32.08071,-96.52344,TX,30555,3,2,1891,3463,2004,83091.8,88697.56,97154.41,106716.16,114880.79,122519.1,142998,165641.92,176472.98,70091,167217.78
75114,32.60769,-96.44322,TX,6438,4,2,2061,4247,1920,137278.32,152374.7,169161.86,185183.17,195323.3,205390.73,242388.64,292053.62,287654.27,9471,293376.37
75115,32.59831,-96.86433,TX,55879,4,3,2493,4342,2006,151689.95,169543.27,188613.16,207711.3,220656.26,232217.08,270898,328450.6,330915.93,123440,337082.4
75116,32.66013,-96.91402,TX,21105,3,2,1920,3366,1921,112547.58,127567.63,143576.97,163077.42,177476.69,188006.31,218250.76,262955.42,268623.96,51910,265809.09
