zipcode,latitude,longitude,state,population,bedroom_number,bathroom_number,living_space,land_space,year_built,2015,2016,2017,2018,2019,2020,2021,2022,2023,net_income,2024
76016,32.68907,-97.18868,TX,31008,4,3,2505,5086,1971,171349.83,188223.87,206062.56,223256.18,233106.48,247152.56,285374.8,340859.31,343871.68,50829,344963.01
76017,32.66223,-97.16237,TX,45429,4,3,2281,5496,1967,150548.21,167844.75,184063.82,201802.22,212142.78,225141.38,260400.72,314415.82,315495.7,91671,321079
76018,32.66074,-97.08967,TX,28553,3,2,1861,6216,1915,128125.29,143992.07,162077.53,181064.2,193147.96,206272.96,239549.63,292277.3,293372.05,65555,295279.81
76020,32.90102,-97.56483,TX,32443,3,2,1998,2056,2006,159728.69,175438.15,193118.91,210495.4,225002.46,237714.92,276100.39,330320.25,326127.62,54443,329108.79
76021,32.8523,-97.13128,TX,35401,3,2,2039,5400,1912,194430.09,216829.07,237914.19,255916.04,265334.02,278507.94,315783.78,374273.53,384608.69,64096,376150.21
76022,32.83063,-97.14506,TX,14224,3,2,1725,5228,1949,138479.31,154894.83,173439.67,191815.04,204171.84,217986.79,248321.47,297325.21,303380.2,32413,300691.4
76023,33.04777,-97.60425,TX,7203,3,3,2255,377,1977,181739.27,200381.16,222604.27,250358.43,271786.13,296459.43,344161.12,401235.59,395217.2,12541,397166.15
76028,32.52603,-97.30491,TX,74217,3,3,2208,4284,1953,166230.65,182705.32,201145.09,218873.98,228771.26,240596.46,278840.73,337802.33,337687.99,112463,337694.03
76031,32.34873,-97.33267,TX,18996,3,2,1883,2916,1984,104016.34,118337.2,133270.96,148429.44,162339.34,180292.85,211413.37,253374.57,250725.1,38907,251242.64
76033,32.28663,-97.52075,TX,26174,3,2,1918,3874,1950,115771.89,131162.94,145055.36,159724.88,170922.89,183774.97,212056.94,254681.98,256263.18,55260,255881.57
76034,32.89121,-97.1488,TX,25717,4,5,4460,769,1997,456141.88,486456.57,505395.92,518978.29,528184.68,551065.06,642193.53,792533.11,805433.31,24511,806016.9
76035,32.56172,-97.64251,TX,2844,3,2,2331,4,1968,246223.23,266640.32,288689.59,311804.92,324760.55,343240.32,406365.39,478942.92,453034.62,2877,470473.15
76036,32.57366,-97.41434,TX,29594,3,2,2173,3488,1950,162285.11,175628.12,190898.41,208295.12,219855.19,230367.31,269541.71,328946.07,319765.88,52998,330384.86
76039,32.8592,-97.08422,TX,40657,3,2,1709,6206,1953,173586.08,192465.12,214434.9,232982.67,242454.82,253622.4,285702.53,339692.91,348528.51,70815,343452.89
76040,32.82133,-97.10488,TX,30787,3,3,2120,5192,1998,164072.91,182624.48,204580.69,223626.11,234659.01,246754.51,281327.96,336826.21,344129.48,74509,344648.78
76043,32.20039,-97.76129,TX,7094,3,3,2386,1777,2001,194187.76,201794.66,212045.38,227485.11,234055.76,248485.76,290971.72,344756.97,355910.18,12991,346574.43
76044,32.42961,-97.54286,TX,6466,4,3,2411,1103,1972,196961,217673.53,240403.08,263831.24,284349.35,304271.78,352013.49,424304.07,425659.05,8018,428721.39
76048,32.40791,-97.80117,TX,25691,3,2,1967,3059,1880,158667.5,169460.97,182532.65,199890.38,213203.42,227085.73,270929.3,317339.76,314833.95,52038,309868.3
76049,32.46759,-97.70645,TX,29154,3,3,2390,2647,2004,199833.78,213434.95,232991.17,255473.24,271039.51,286232.65,334930.58,402279.06,399298.27,48229,403087.67
76050,32.27262,-97.16326,TX,6760,3,2,2356,845,1990,159990.19,175484.85,187706.95,202976.23,220339.96,247969.62,289506.59,351137.22,355344.24,11622,349659.18
76051,32.94192,-97.07888,TX,50066,3,3,2265,5712,1920,274378.43,300748.85,320981.53,339184.12,347914.12,362484.86,407987.24,488755.5,504127.41,76956,495799.98
76052,32.98205,-97.38037,TX,26240,4,3,2508,5141,1940,229514.33,250626.85,268595.02,281207.79,289928.78,302259.49,352814.92,428664.37,415596.9,25013,430404.89
76053,32.81683,-97.17898,TX,31513,3,2,1712,6501,2003,131904.53,150634.77,170062.79,187380.58,198084.68,211986.18,242288.08,288337.39,293227.95,74829,291400.43
76054,32.85904,-97.17789,TX,11989,4,3,2650,6364,1993,203287.36,225106.42,245943.98,265463.6,274969.15,289193.73,327797.14,387239.21,398052.44,17626,394013.85
76055,32.1596,-97.14812,TX,3255,3,2,1797,2557,1948,82074.22,93399.19,104802.39,118232.48,127433.29,142467.29,167096.78,193250.15,197938.26,6055,189030.6
76058,32.47072,-97.4251,TX,20702,3,2,1938,1637,1939,148357.83,165642.01,183812.45,202389,213006.09,230921.85,267918.44,320894.26,322921.52,40768,320623.63
76059,32.3921,-97.32897,TX,4982,3,2,1546,2901,1965,107812.9,120386.17,134351.1,148789,159897.75,177020.61,208070.26,243505.44,247967.54,12441,239359.17
76060,32.63987,-97.2161,TX,8183,4,2,2244,5037,1925,199906.96,219657.79,238613.43,254790.6,264684.38,278228.26,319936.94,383566.93,384384.84,16125,387851.36
76063,32.56913,-97.14376,TX,76867,4,3,2737,5708,2004,218332.47,239363.69,260048.54,277871.99,287581.7,301311.42,349484.2,421030.75,421498.25,110430,421428.41
76064,32.30757,-97.03225,TX,1999,4,3,2695,23,1980,170798.36,190774.36,213031.62,233442.39,243891.3,257408.77,294460.51,341528.95,342240.54,3264,344734.67
76065,32.47042,-96.98861,TX,40814,4,3,2687,5017,2006,225330.6,247230.03,271214.48,289439.08,300839.13,317163.65,370520.54,441368.27,443656.99,51914,439139.09
76067,32.80303,-98.1449,TX,20420,4,2,1789,2362,1993,88095.83,90426.74,94269.78,101864.65,112555.21,128720.2,160273.85,189709.15,190384.82,47126,186005.78
76070,32.24291,-97.64991,TX,814,4,3,2708,5,1980,263528.18,271989.91,287407.21,309055.68,320479.07,344208.28,411937.59,491629.35,512640.45,713,489723.1
76071,33.00613,-97.47821,TX,4242,4,2,2163,2795,2006,171246.13,182348.87,196328.88,216900.23,229894.61,243260.67,279406.76,334488.57,325560.86,7385,340569.55
76073,33.10416,-97.72571,TX,6443,3,2,2244,3,2004,209583.69,228705.63,252702.79,280859.97,304760.2,327409.02,381865.17,452208.64,460144.24,9178,447343.56
76082,32.97098,-97.71783,TX,22082,4,2,2094,1287,1986,182209.69,199944.2,221248.6,246833.66,265561.07,280453.9,324964.57,381253.55,383531.6,37748,380058.21
76085,32.84907,-97.70051,TX,11143,4,2,2193,802,1955,216042.86,235756.42,256226.18,277303.21,297470.51,315694.89,366303.02,431465.12,435518.73,20528,429552.84
76086,32.75345,-97.78909,TX,21054,3,2,1808,3203,1967,130032.2,143782.72,159263.29,173823.73,190400.43,198659.69,224374.34,265602.77,271171.91,49389,269368.26
76087,32.66995,-97.79065,TX,28779,4,3,2968,1643,1941,239220.3,260199.94,277463.88,296490.26,315394.37,325048.85,370851.15,441314.5,439716.96,46379,447083.4
76088,32.84554,-97.90345,TX,14669,4,3,2323,126,1993,220206.59,243623.59,265506.74,290734.89,310810.78,328145.96,370495.44,432711.44,435856.17,21008,437516.95
76092,32.95562,-97.14879,TX,31276,5,5,5236,813,1960,580392.37,610321.2,634740.38,657510.5,677213.6,707089.08,850795.85,1078625.21,1094517.93,27115,1090106.46
76093,32.21459,-97.40098,TX,3239,3,3,1926,3,1916,123327.02,136577.28,147421.07,165799.76,178318.26,195164.49,224388.94,267209.78,266604.11,4500,269595.2
76102,32.75799,-97.32858,TX,10650,2,2,1658,1880,1920,205391.17,223314.09,228666.7,237443.08,241217.4,248016.99,272052.51,303449.08,305802.8,17634,302546.12
76103,32.75282,-97.26627,TX,17363,3,2,1611,4862,1964,82961.39,98356.52,114441.17,129798.81,142294.52,155989.51,182441.14,216582.87,221319.13,38295,214268.84
76104,32.72848,-97.31819,TX,18956,3,2,1586,5797,1958,53893.24,64423.29,74822.87,89586.36,102600.99,115489.27,140265.27,167033.41,169651.36,56394,164398.95
76105,32.72327,-97.26999,TX,24277,3,2,1399,6226,2003,47693.08,56033.28,67143.25,82972.19,91464.9,105641.59,127786.51,153084.69,158742.19,76691,154393.25
76106,32.81417,-97.35209,TX,37437,3,2,1425,6716,2004,64260.13,73819.74,88933.64,102698.01,112482.71,125278.09,143430.94,171953.14,178624.02,103883,178023.77
76107,32.74176,-97.38202,TX,29929,3,3,2332,4794,1998,208698.38,231889.18,251318.29,266400.96,270937.74,278845.31,310772.84,358029.01,360152.84,59357,363740.14
76108,32.77943,-97.51811,TX,44125,3,2,2054,5462,1965,131418.58,145671.42,162560.37,181002.43,193018.22,204575.84,238373.44,291213.86,287744.14,83961,292934.81
76109,32.70115,-97.38378,TX,24606,4,3,2773,4073,2005,357405.37,372858.74,394676.08,409189.96,415621.24,424556.67,474001.61,554049.67,568034.44,30322,566790.58
76110,32.70678,-97.33843,TX,33505,3,2,1827,5722,2002,92199.62,107150.67,122069.27,140925.75,153069.04,164201.16,183947.63,212147.62,217022.96,77452,214795.51
76111,32.7804,-97.30116,TX,21591,3,2,1763,5746,1984,81603.06,94522.74,110142.45,126636.97,139199.79,152079.71,173985,207977.12,212777.1,58797,211469.62
76112,32.74831,-97.21828,TX,42404,3,2,1807,4404,1958,94737.9,109567.33,125712.41,143610.6,154034.37,166927.69,194369.47,236766.81,242943.27,129028,244411.74
76114,32.77365,-97.40417,TX,27683,4,3,2209,4551,2002,85403.62,97681.56,115006.95,133850.94,146878.03,161390.17,186804.61,220711.42,226104.11,64954,225965.59
76115,32.67861,-97.33117,TX,21824,3,2,1360,6384,1950,60061.89,68804.72,80498.97,93968.18,106479.25,120588.07,139651,170005.32,177720.98,64057,173788.94
76116,32.72128,-97.44766,TX,49319,3,2,2027,4485,1949,140711.31,157762.78,175583.73,191251.94,199096.01,209191.18,240809.52,286534.04,287041.74,124420,291345.41
76117,32.80374,-97.26766,TX,32438,3,2,1643,6483,2005,85668.24,98845.95,115442.81,133071.8,146968.89,158272.66,182380.23,218349.56,226994,87850,222440.45
76118,32.79606,-97.1972,TX,16674,3,2,2130,4425,1976,144854.3,161640.87,182039.19,202367.99,213754.62,225860.73,261060.94,316352.66,320156.46,33317,319106.72
76119,32.69026,-97.26176,TX,51037,3,2,1511,6644,1939,60628.64,70995.42,84242.71,100184.79,114847.85,128672.3,150233.81,179789.15,185360.68,149353,185107.77
76120,32.76742,-97.18286,TX,20518,3,2,2243,4608,1960,144395.29,158966.03,175655.21,191867.62,203670.23,216960.19,254461.42,313214.27,310159.32,47782,316082.58
76123,32.62298,-97.40262,TX,38575,4,3,2482,6373,1960,148489.44,163316.53,180562.3,199034.85,210461.69,221588.01,261197.62,323204.06,315901.71,66511,328559.04
76126,32.64374,-97.51767,TX,24946,4,3,2586,4454,2003,189266,208374.63,227019.58,245680.34,253011.32,265388.24,304705.83,365242.81,366396.55,34174,371101.35
76131,32.88227,-97.34895,TX,47569,4,3,2238,6085,2005,170837.36,189084.23,208772.99,227060.94,235905.92,245913.27,289056.19,357115.81,345525.73,67305,360994.16
76132,32.66743,-97.41827,TX,26437,4,4,3748,2802,2007,251589.77,268348.67,282622.72,299695.79,308570.28,317880.16,359985.74,428704.96,432604.37,57600,443495.59
76133,32.6538,-97.37746,TX,54186,3,2,1870,6842,1986,113456.29,127745.81,144200.76,162864.72,173176.85,184881.45,217409.34,263267.66,265482.48,121891,265162.39
76134,32.64331,-97.33103,TX,29208,3,2,1915,6304,1941,102845.52,117324.6,134891.06,153124.75,165843.11,177601.52,207847.78,252957.36,255290.79,69845,254758.25
76135,32.83708,-97.46621,TX,18939,3,2,2039,3780,1928,128546.83,143000.12,159691.91,176335.36,188212.96,200334.31,233744.52,283890.16,283840.64,44091,285526.54
76137,32.85864,-97.29137,TX,59273,3,2,2115,6245,1940,151099.69,169873.09,189308.05,206385.83,214973.51,225473.63,263017.74,324915.79,325033.14,114470,327830.03
76140,32.62012,-97.27036,TX,31703,4,2,2158,4484,1995,104695.6,120310.57,138228.26,155487.92,166960.24,178542.96,206964.66,249899.74,251188.96,78114,255649
76148,32.86789,-97.25197,TX,24578,3,2,1345,7137,1992,116963.61,133571.54,150466.55,168581.81,180959.94,193132.47,223367.04,268834.47,271648,50855,269712.31
76179,32.91397,-97.43947,TX,70425,4,3,2503,5165,1976,165444.53,182316.81,200478.6,217873.43,227269.1,237037.85,277181.5,340196.97,330550.35,93746,341258
76180,32.83994,-97.22468,TX,36974,3,2,2064,4596,1958,152581.36,172190.14,191940.55,209683.86,219188.53,233455.19,268237.23,319922.22,323777.81,81365,321893.07
76182,32.88257,-97.20969,TX,30911,4,3,2402,7324,1998,198549.66,221808.22,242005.86,260005.39,267326.98,281375.15,323671.42,389302.68,398991.39,47766,394361.67
76201,33.22122,-97.14715,TX,28415,3,2,1579,5790,1978,124128.5,143454.54,165222.11,181818.18,188816.84,201996.45,229719.99,273640.11,279271.07,67582,277466.04
76205,33.19074,-97.12894,TX,20365,4,2,2093,5060,1940,167993.3,189347.61,211164.81,227075.53,234409.44,247019.56,286194.91,346088.81,351339.61,47642,350815.61
76207,33.22174,-97.18505,TX,15961,3,3,1856,5257,2003,203210.9,225408.87,245054.29,258126.51,261415.72,268682.8,311055.4,377522.66,372349.36,28551,382766.14
76208,33.20917,-97.05786,TX,26598,4,3,2634,5668,1972,228419.7,248919.28,265679.56,280559.36,286867.72,297720.9,348330.44,424534.67,421029.86,46446,430151.1
76209,33.2315,-97.11,TX,26660,3,2,1606,5428,1976,134492.25,153523.82,173538,190841.21,197727.01,206787.2,238312.57,288642.64,292117.96,62663,292908.83
76210,33.14985,-97.0962,TX,44367,4,3,2620,6646,1920,198558.54,218986.52,236741.48,252766.39,260519.9,271586.43,317475.37,390771.7,392800.75,65957,395005.67
76225,33.36616,-97.67345,TX,3193,3,2,1938,1176,1963,165650.33,180020.12,195604.66,214537.72,231531.86,252303.97,293419.46,340703.36,342850.31,5774,334786.98
76226,33.10775,-97.17196,TX,34829,4,4,3434,4325,1962,352561.02,368065.39,383037.9,394630.96,397370.63,409599.82,480175.85,600217.54,599819.51,26582,611560.82
76227,33.27465,-96.99075,TX,43088,4,3,2425,5822,1954,204021.56,226627.29,245939.85,260325.6,263506.89,268893.52,318402.16,400567.11,388522.87,50228,404962.99
76230,33.52264,-97.94497,TX,9921,3,2,1668,1626,1959,109573.05,113140.17,114224.46,121321.95,131188.98,148207.46,176007.13,205703.74,210606.39,19588,201501.62
76233,33.54025,-96.89696,TX,3535,3,2,1999,2436,2000,153827.16,170039.27,184909.26,203956.93,220826.33,232942.07,273762.4,323863.08,329273.62,6265,319443.93
76234,33.27587,-97.51404,TX,19147,3,3,2383,1216,1959,203647.76,222508.32,242086.25,269187.63,290506.76,309840.47,356786.96,416504.17,416184.87,32059,414138.67
76240,33.65654,-97.17766,TX,29209,3,2,2010,2723,1953,121946.37,132904.97,143820.94,160414.6,173688.17,188480.99,216242.12,255713.92,256991.07,56682,255958.92
76244,32.93101,-97.28076,TX,74884,4,3,2476,5875,2003,203225.76,224682.16,243430.14,256757.93,262192.09,273142.77,320036.79,394855.06,389730.39,96038,395377.3
76247,33.0965,-97.33154,TX,16511,4,3,2623,4407,1922,191838.91,213512.47,234026.48,253981.06,263501.99,277287.01,327682.2,401303.45,397000.24,24631,404019.67
76248,32.92988,-97.22972,TX,40553,4,3,3055,4551,1996,312334.88,337100.94,356305.51,373292.21,378629.84,394547.26,458702.05,555786.69,562082.4,43697,558294.41
76249,33.27993,-97.3026,TX,9235,3,2,2260,4332,2004,170510.01,191249.9,210481.32,226527.73,235191.23,246416.1,289250.46,352375.35,352348.04,14419,352121.19
76252,33.67788,-97.38695,TX,2424,4,3,2733,2174,2010,155546.56,167005.63,183833.54,203566.3,218993.6,234444.67,269453.08,310442.91,304467.16,5562,312497.48
76255,33.8179,-97.71625,TX,5514,4,3,2212,557,2000,104703.35,107000.81,110338.38,114539.57,123705.26,140027.44,164528.24,195148.27,185681.45,11307,198786.47
76258,33.37202,-96.9204,TX,7056,3,3,2578,2087,1924,168535.83,191561.42,219201.74,240722.69,252888.75,268833.61,317021.32,386996.48,391438.04,13571,387503.49
76259,33.19977,-97.31603,TX,5469,4,2,1923,4579,2006,195734.07,217059.84,234810.08,253153.34,262712.53,274287.53,319380.54,389345.94,385367.55,8934,393903.36
76262,33.01137,-97.22101,TX,40159,4,4,3563,3642,2006,321169.08,343645.49,361241.91,375825.71,381070.87,397763.88,464972.69,568010.68,576780.51,45719,573680.62
76265,33.74079,-97.53922,TX,1529,3,2,1961,3472,1928,123740.37,124358.56,127789.19,131180.88,141141.48,163756.84,191591.38,221609.79,214757.39,3457,217292.96
76266,33.36818,-97.21513,TX,17658,3,2,2114,3972,1992,172105.86,191586.36,213216.89,231166.95,240375.86,252820.84,294364.75,355204.84,355633.23,29107,355090.97
76270,33.45471,-97.76247,TX,1697,3,2,2012,16,2004,226365.22,241325.92,254037.88,272425.31,291443.22,317762.97,384916.67,449408.89,458953.28,3703,432656.53
76271,33.46953,-96.91412,TX,1873,4,3,2580,4672,1910,161125.87,178409.6,196984.06,224491.92,232646.59,252009.94,298106.17,357585.63,369688.06,2993,358790.85
76273,33.74794,-96.93935,TX,9922,4,3,2499,481,1976,140664.86,154563.18,168033.36,185419.39,198704.05,216551.46,258624.89,303546.16,306045.66,18340,300171.86
76301,33.90507,-98.48043,TX,15062,3,1,1226,6502,1999,44032.44,43602.68,43755.54,46925.95,47912.66,51990.76,62376.95,75610.21,74799.26,46861,77838.57
76302,33.86607,-98.48487,TX,11423,3,2,1144,8603,2007,96002.33,97953.38,101399.52,107981.38,113861.47,123251.74,143289.63,166909.69,172809.95,27604,167329.17
76306,33.95237,-98.52745,TX,14781,3,1,1285,7177,1900,67372.92,68191.56,69206.41,73166.72,75400.31,83624.97,100686.55,121678.98,123324.96,36801,120207.28
76308,33.85684,-98.5378,TX,20028,4,3,2608,1873,2001,119139.01,121143.99,125136.82,131958.26,138876.63,149277.22,171551.56,197706.56,203288.26,41917,203045.07
76309,33.89551,-98.544,TX,14082,3,2,2036,1764,1959,70070.53,70973.28,70737.28,74954.77,76940.21,84322.64,100948.53,118387.01,118196.86,32740,118597.53
76310,33.81115,-98.51178,TX,19279,3,2,1986,9148,1941,134867.94,137261.59,140633.23,148647.5,157052.85,168363.51,193929.6,224736.78,228799.24,33979,223222.21
76354,34.09521,-98.62276,TX,11825,3,2,2273,0,1940,95880.14,93159.49,94736.81,100776.04,106887.2,116507.38,135307.74,156071.89,161177.25,24666,156669.77
76365,33.754,-98.2076,TX,4491,4,2,2235,1919,1972,98604.62,102098.15,101632.21,108442.27,119948.41,125213.22,138319.61,164767.75,160734.94,9549,173129.6
76374,33.34823,-98.7648,TX,3595,3,2,1582,4634,1920,51840.04,54331.72,52213.92,52109.45,56576.76,60755.19,72483.39,85479.06,93415.74,7431,84478.75
76384,34.14355,-99.32067,TX,12304,2,1,2294,2808,2006,65878.41,65769.21,65942.22,69405.44,73782.29,79639.19,85852.81,94427.29,91767.88,28533,94030.84
76401,32.27918,-98.19994,TX,29724,3,2,2116,2216,1996,144609.87,152519.93,157747.79,165869.71,176648.97,189768.66,223016.31,265957.11,279904.77,54848,263763.92
76424,32.80431,-98.89236,TX,8552,3,2,1777,1791,2005,106995.11,105619.98,105658.28,107431.96,114076.7,121581.04,136119.63,163845.13,141740.65,17403,170337.7
76431,33.31066,-97.86228,TX,4376,3,3,2299,38,1940,177619.08,188279.35,202585.18,223369.27,238914.73,256036.17,300248.87,349052.22,342577.06,6948,344873.72
76433,32.30662,-98.01096,TX,1934,3,3,2165,8,1998,217814.28,220384.1,234773.73,259627.94,281984.54,304864,359463.12,433697.44,445968.82,2023,434930.95
76437,32.388,-99.01935,TX,5593,3,2,1628,1954,1995,74263.3,76512.63,76231.2,80958.56,87316.45,93953.7,111792.41,129202.96,121316.49,12217,127427.22
76442,31.89015,-98.61242,TX,7697,3,2,1994,1174,1976,94766.29,97674.61,103699.94,112732.85,119308.9,128596.33,150244.79,170174.88,170632.91,15816,167652.94
76443,32.11907,-99.20174,TX,2019,3,2,2092,1074,1936,97673.92,108949.32,107212.15,112782.92,119118.84,125045,136465.99,139524.75,126125.88,3717,135261.49
76444,32.11781,-98.5672,TX,3477,3,2,1747,1376,1915,81327.85,80386.43,87873.89,91254.37,97804.15,105287.86,130917.89,159158.06,160876.42,8197,156410.05
76446,32.07572,-98.35311,TX,8876,4,2,2102,1916,2006,118603.2,127046.42,130329.45,139318.4,148841.11,163996.77,194380.06,232349.71,240129.86,17280,232233.49
76448,32.39257,-98.79541,TX,4991,3,2,2072,1787,2007,101863.2,105048.07,105711.47,112011.39,120000.74,126398.51,141838.65,160482.2,156668.3,13155,162338.81
76449,32.91592,-98.32512,TX,2339,4,4,2984,1619,1958,356690.98,364912.91,363852.46,361682.44,368892.62,386598.17,479707.95,568831.98,573823.45,5042,553725.22
76450,33.05968,-98.64152,TX,13090,3,2,2038,1302,1955,109661.99,111384.24,109658.55,111847.43,119326.76,126422.63,150290.42,180157.31,186632.69,26171,179543.12
76453,32.57202,-98.33908,TX,1515,3,2,2618,4,2009,172631.23,178353.5,181235.24,198153.2,218854.73,235784.43,287598.05,327652.01,323959.28,2147,311568.32
76457,31.94968,-98.02773,TX,4194,3,2,1971,1197,1927,147307.93,148913.87,156678.66,164200.9,175136.45,188760.1,226687.23,272280.64,265965.27,7233,268702.35
76458,33.21518,-98.18944,TX,5930,3,2,2211,1127,1993,95272.25,110334.83,107334.52,120100.58,125522.38,138325.76,152616.54,170788.22,145874.86,10294,170752.41
76462,32.52316,-98.03421,TX,4914,3,2,2558,750,2007,222749.07,251197.07,270978.25,283302.5,301491.52,320913.07,373696.23,438670.56,453418.22,5474,429696.71
76470,32.49977,-98.6686,TX,3432,4,2,1902,847,1978,66926.46,66093.79,65326.37,64459.52,65968.72,71197.31,82590.97,89070.8,85295.4,6444,90072.6
76471,32.11117,-98.98499,TX,1500,3,1,1316,3267,1918,104352.35,107691.12,110310.44,117968.07,126128.86,138439.7,163099.25,184475.37,170524.17,3482,176937.49
76475,32.65296,-98.51281,TX,1031,4,3,3539,4307,1940,168332.35,164916.72,162095.91,169883.69,181827.23,190094.72,220864.11,248715.33,254197.12,1889,249172.47
76476,32.37055,-97.92017,TX,3406,3,2,2025,24,1968,200734.96,216433.2,235356.44,248625.94,259224.35,272148.59,314294.63,347403.6,340028.73,4613,336196.66
76501,31.07555,-97.25469,TX,17357,3,2,1772,3135,1997,93542.63,100143.67,104928.26,115739.29,125404.83,136362.57,159807.65,192053.55,195129.81,41978,193250.57
76502,31.09388,-97.41082,TX,45515,4,2,2062,5274,1977,157497.41,163017.54,167366.98,175893.2,184289.17,194749.81,229062.76,287954.82,285620.19,70664,292998.26
76504,31.14135,-97.37748,TX,23916,3,2,1649,4942,1954,89321.74,94133.86,98892.47,109075.41,119888.53,131610.96,156821.78,189568.22,191738.14,65744,190565.37
76511,30.79955,-97.42293,TX,2497,3,2,2155,1227,1998,105690.51,112419.73,125989.3,138047.49,140141.6,156677.88,198100.36,230784.46,219351.18,5035,219084.53
76513,31.05777,-97.50369,TX,42610,4,3,2233,3658,1956,169891.95,175417.61,182567.17,195835.48,207667.52,222062.84,258736.84,313877.16,317440.69,70331,318771.28
76520,30.87266,-96.89972,TX,7692,3,2,1782,1818,1946,107066.3,111099.28,118743.92,126822.32,141702.45,150624.32,164722.85,187627.55,180899.58,18865,191218.82
76522,31.21577,-97.97215,TX,40050,3,2,1787,5622,1989,113622.49,117728.8,120209.39,126726.11,134766.19,147536.74,175536.31,215329.3,223111.48,86046,216492.45
76527,30.8379,-97.79531,TX,4262,3,3,2732,673,1957,232681.08,252591.88,271807.85,285686.65,294175.24,325243.63,409819.25,481924.15,461764.7,8339,456547.09
76528,31.43589,-97.7844,TX,19355,3,2,1773,2109,2007,117814.34,127405.32,134552.81,142632.44,154654.9,168905.45,197054.86,231002.57,235342.43,33995,227239.5
76530,30.71357,-97.42434,TX,2277,3,2,2062,376,1988,173390.29,192859.6,209033.24,221964.61,218336.41,231243.19,286821.34,333809.83,301785.61,5019,318861.31
76531,31.68423,-98.19058,TX,4516,3,2,1814,1192,1971,94910.54,98407.27,103130.22,108582.37,112793.2,119383.29,153253.38,182347.46,178148.17,10481,174311.17
76534,30.88225,-97.36952,TX,2953,3,2,1503,3863,1920,136588.7,147817.02,156804.63,174453.14,190713.72,222266.85,260930,306106.52,307029.19,4539,298414.34
76537,30.81779,-97.60645,TX,10273,3,2,1983,5140,1971,178845.63,187353.46,198226.99,205447.04,202947.08,208435.55,256458.1,329540.63,301468.53,13268,331470.4
76539,31.09193,-97.9992,TX,8665,4,2,2151,4,1997,177291.25,183701.8,193318.21,210891.91,225936.52,242667.77,285282.11,344550.18,347329.85,14854,346932.2
76541,31.11447,-97.72922,TX,18521,3,1,1249,6951,1972,48377.52,50748.04,54699.82,62028.82,67580.12,76852.29,97248.62,119613.95,125364.17,57471,117458.73
76542,31.00062,-97.7274,TX,50527,4,3,2297,6370,1996,150615.37,153350.41,156451.33,161866.5,169760.42,180463.52,211339.7,256946.03,261195.63,107450,264726.99
76543,31.12343,-97.64077,TX,33350,3,2,1514,6254,1920,80838.53,82882.31,85638.21,92642.76,101711.31,114279.91,140240.52,170298.63,179048.45,86890,169399.23
76548,31.05299,-97.64613,TX,31759,4,3,2364,4963,1926,182686.57,185317.63,189922.76,198412.95,205573.66,217435.15,254376.31,303609.87,305944.41,56083,307482.88
76549,31.01583,-97.82546,TX,53138,4,2,1949,6923,1913,126258.97,128761.78,131718.43,136810.86,144722.89,155321.18,184602.35,228541.52,235174.07,120665,234330.91
76550,31.07714,-98.22165,TX,13789,3,2,2342,2467,1920,121855.4,131590.95,137757.71,155997.09,173373.52,186191.35,218016.38,269857.3,272786.5,25322,271400.43
76554,30.97583,-97.3677,TX,2360,3,2,1352,10411,2008,105838.89,111058.77,116226.32,128108.03,141593.55,156800.97,181829.15,215250.43,225915.57,4330,213834.41
76557,31.29075,-97.39814,TX,6063,3,3,2620,727,1955,133376.57,142722.87,158056.09,172567.82,181550.51,194082.13,234174.29,285268.81,294153.66,11351,284401.29
76559,31.07987,-97.61079,TX,6260,4,3,2318,2807,1930,167359.67,170696.25,174769.29,182858.87,191411.9,204304.08,239996.86,289907.37,294135.78,11356,294939.28
76561,31.42531,-97.54098,TX,1259,3,2,1654,24,2006,113711.73,122241.6,129135.6,144122.55,157761.87,177855.34,206276.36,240725.41,240028.35,2087,237890.54
76567,30.64535,-97.01363,TX,8790,3,2,1928,2572,1994,109049.98,116573.75,121685.72,135107.91,149909.37,158238.01,181159.47,217879.15,219140.8,20508,220930.48
76569,30.93873,-97.21904,TX,3174,4,3,2224,802,1956,127673.11,131208.12,138921.5,145656.38,155246.16,167706.18,197928.71,230215.86,233249.74,4915,230610.14
76570,31.0818,-96.94173,TX,2661,3,2,1774,3507,1966,74405.79,76806.5,82048.6,89301.97,94664.93,107264.74,118490.26,124994.91,123532.87,5921,123204.93
76571,30.93305,-97.58448,TX,9384,4,3,3000,256,1998,275023.49,287565.22,303668.13,323225.41,341117.19,363918.68,429748.01,529321.88,535452.6,11840,534671.06
76574,30.58297,-97.38967,TX,19126,3,2,1855,4632,1937,146456.58,162635.55,181077.86,192510,197548.66,210386.6,261064.49,327294.55,305448.48,41853,322315.76
76577,30.62128,-97.1787,TX,3120,3,2,1965,1555,1948,183014.77,196729.33,212265.53,227940.81,247525.09,263982.85,317000.72,386687.12,366344,5447,380975.39
76578,30.53488,-97.24092,TX,1453,4,2,2464,2898,1930,179995.52,190152.07,207538.19,217598.49,223986.98,240706.07,304765.84,363744.77,332899.71,3287,349136.16
76579,31.19894,-97.26046,TX,7068,4,2,1831,4755,1975,138586.89,147196.5,154689.97,164446.26,174661.03,186536.63,222093.61,266478.63,270610.75,9514,265010.48
