zipcode,latitude,longitude,state,population
75447,33.76,-96.12,TX,1067.0
75449,33.42,-95.95,TX,1165.0
75452,33.39,-96.24,TX,4688.0
75453,33.0,-95.93,TX,2757.0
75454,33.28,-96.56,TX,15341.0
75455,33.22,-94.98,TX,26687.0
75457,33.17,-95.21,TX,6228.0
75459,33.53,-96.68,TX,5709.0
75460,33.66,-95.6,TX,24287.0
75462,33.62,-95.48,TX,11232.0
75473,33.81,-95.48,TX,3773.0
75479,33.63,-96.34,TX,2122.0
75486,33.76,-95.75,TX,2442.0
75490,33.44,-96.31,TX,2891.0
75491,33.5,-96.39,TX,4914.0
75494,32.91,-95.26,TX,10785.0
75495,33.43,-96.55,TX,9208.0
75496,33.36,-96.07,TX,3578.0
75497,32.92,-95.58,TX,3623.0
75501,33.37,-94.13,TX,35111.0
75503,33.51,-94.13,TX,27361.0
75551,33.12,-94.2,TX,11040.0
75554,33.59,-94.79,TX,2078.0
75555,32.95,-94.14,TX,1424.0
75559,33.5,-94.64,TX,5392.0
75561,33.52,-94.28,TX,4626.0
75563,33.02,-94.39,TX,3816.0
75568,33.2,-94.59,TX,2873.0
75569,33.44,-94.12,TX,3478.0
75570,33.46,-94.44,TX,11162.0
75571,33.21,-94.76,TX,2367.0
75572,33.23,-94.13,TX,3474.0
75601,32.51,-94.72,TX,15683.0
75602,32.46,-94.66,TX,21024.0
75603,32.4,-94.72,TX,6733.0
75604,32.51,-94.83,TX,30349.0
75605,32.58,-94.72,TX,33730.0
75630,32.88,-94.56,TX,2306.0
75633,32.13,-94.28,TX,12799.0
75638,33.02,-94.73,TX,5001.0
75640,32.72,-94.68,TX,5791.0
75647,32.52,-94.96,TX,12405.0
75650,32.52,-94.55,TX,9239.0
75656,33.01,-94.59,TX,4768.0
75657,32.79,-94.3,TX,7366.0
75662,32.38,-94.88,TX,25153.0
75667,31.99,-94.84,TX,1457.0
75670,32.56,-94.42,TX,18855.0
75672,32.47,-94.29,TX,16700.0
75681,31.94,-94.68,TX,2563.0
75683,32.82,-94.74,TX,3998.0
75686,32.97,-94.95,TX,13396.0
75692,32.47,-94.12,TX,4698.0
75693,32.53,-94.86,TX,6353.0
75701,32.32,-95.3,TX,34296.0
75702,32.36,-95.31,TX,28236.0
75703,32.24,-95.32,TX,42414.0
75704,32.41,-95.44,TX,9575.0
75706,32.47,-95.3,TX,10142.0
75707,32.3,-95.17,TX,14455.0
75708,32.41,-95.21,TX,10419.0
75709,32.31,-95.39,TX,4596.0
75751,32.08,-95.92,TX,17098.0
75752,32.24,-95.81,TX,7450.0
75754,32.42,-95.66,TX,7961.0
75755,32.63,-95.09,TX,4576.0
75756,32.3,-95.6,TX,4403.0
75757,32.12,-95.35,TX,13699.0
75758,32.27,-95.5,TX,9726.0
75765,32.64,-95.24,TX,7705.0
75766,31.95,-95.25,TX,25577.0
75771,32.54,-95.43,TX,21260.0
75773,32.68,-95.45,TX,13478.0
75778,32.3,-95.71,TX,2443.0
75783,32.82,-95.42,TX,8316.0
75789,32.11,-95.09,TX,8919.0
75790,32.53,-95.64,TX,3383.0
75791,32.22,-95.22,TX,14093.0
75792,32.47,-95.11,TX,3134.0
75801,31.74,-95.55,TX,15740.0
75803,31.88,-95.67,TX,21941.0
75831,31.46,-96.02,TX,4981.0
75833,31.26,-95.84,TX,2223.0
75835,31.3,-95.49,TX,11597.0
75839,31.62,-95.56,TX,6001.0
75840,31.78,-96.09,TX,6504.0
75844,31.52,-95.43,TX,4622.0
75845,31.09,-95.09,TX,2105.0
75852,30.99,-95.72,TX,3306.0
75859,31.88,-96.26,TX,2125.0
75860,31.62,-96.25,TX,6248.0
75862,30.96,-95.33,TX,10245.0
75901,31.3,-94.65,TX,28979.0
75904,31.34,-94.83,TX,34663.0
75929,31.24,-94.2,TX,1553.0
75931,31.1,-93.99,TX,1821.0
75932,31.06,-93.61,TX,1343.0
75933,30.55,-93.82,TX,1624.0
75935,31.73,-94.2,TX,12426.0
75938,30.93,-94.36,TX,2217.0
75941,31.18,-94.76,TX,8470.0
75946,31.81,-94.52,TX,3714.0
75949,31.23,-94.52,TX,8469.0
75951,30.93,-94.06,TX,15026.0
75954,31.92,-94.06,TX,2550.0
75956,30.67,-93.97,TX,8275.0
75961,31.56,-94.51,TX,14909.0
75964,31.63,-94.75,TX,19889.0
75965,31.73,-94.63,TX,18231.0
75966,30.84,-93.73,TX,4462.0
75969,31.45,-94.9,TX,3719.0
75972,31.49,-94.12,TX,6190.0
75973,31.72,-93.93,TX,2809.0
75974,31.96,-94.24,TX,3296.0
75975,31.9,-94.41,TX,3868.0
75979,30.77,-94.4,TX,12023.0
75980,31.12,-94.35,TX,2407.0
76001,32.63,-97.15,TX,37134.0
76002,32.62,-97.09,TX,34402.0
76006,32.79,-97.1,TX,24547.0
76008,32.68,-97.63,TX,22091.0
76009,32.42,-97.2,TX,20751.0
76010,32.72,-97.08,TX,57448.0
76011,32.75,-97.08,TX,21701.0
76012,32.75,-97.14,TX,28750.0
76013,32.72,-97.16,TX,34457.0
76014,32.69,-97.09,TX,32460.0
76015,32.69,-97.13,TX,17629.0
76016,32.69,-97.19,TX,31008.0
76017,32.66,-97.16,TX,45429.0
76018,32.66,-97.09,TX,28553.0
76020,32.9,-97.56,TX,32443.0
76021,32.85,-97.13,TX,35401.0
76022,32.83,-97.15,TX,14224.0
76023,33.05,-97.6,TX,7203.0
76028,32.53,-97.3,TX,74217.0
76031,32.35,-97.33,TX,18996.0
76033,32.29,-97.52,TX,26174.0
76034,32.89,-97.15,TX,25717.0
76035,32.56,-97.64,TX,2844.0
76036,32.57,-97.41,TX,29594.0
76039,32.86,-97.08,TX,40657.0
76040,32.82,-97.1,TX,30787.0
76043,32.2,-97.76,TX,7094.0
76044,32.43,-97.54,TX,6466.0
76048,32.41,-97.8,TX,25691.0
76049,32.47,-97.71,TX,29154.0
76050,32.27,-97.16,TX,6760.0
76051,32.94,-97.08,TX,50066.0
76052,32.98,-97.38,TX,26240.0
76053,32.82,-97.18,TX,31513.0
76054,32.86,-97.18,TX,11989.0
76055,32.16,-97.15,TX,3255.0
76058,32.47,-97.43,TX,20702.0
76059,32.39,-97.33,TX,4982.0
76060,32.64,-97.22,TX,8183.0
76063,32.57,-97.14,TX,76867.0
76064,32.31,-97.03,TX,1999.0
76065,32.47,-96.99,TX,40814.0
76067,32.8,-98.14,TX,20420.0
76070,32.24,-97.65,TX,814.0
76071,33.01,-97.48,TX,4242.0
76073,33.1,-97.73,TX,6443.0
76082,32.97,-97.72,TX,22082.0
76085,32.85,-97.7,TX,11143.0
76086,32.75,-97.79,TX,21054.0
76087,32.67,-97.79,TX,28779.0
76088,32.85,-97.9,TX,14669.0
76092,32.96,-97.15,TX,31276.0
76093,32.21,-97.4,TX,3239.0
76102,32.76,-97.33,TX,10650.0
76103,32.75,-97.27,TX,17363.0
76104,32.73,-97.32,TX,18956.0
76105,32.72,-97.27,TX,24277.0
76106,32.81,-97.35,TX,37437.0
76107,32.74,-97.38,TX,29929.0
76108,32.78,-97.52,TX,44125.0
76109,32.7,-97.38,TX,24606.0
76110,32.71,-97.34,TX,33505.0
76111,32.78,-97.3,TX,21591.0
76112,32.75,-97.22,TX,42404.0
76114,32.77,-97.4,TX,27683.0
76115,32.68,-97.33,TX,21824.0
76116,32.72,-97.45,TX,49319.0
76117,32.8,-97.27,TX,32438.0
76118,32.8,-97.2,TX,16674.0
76119,32.69,-97.26,TX,51037.0
76120,32.77,-97.18,TX,20518.0
76123,32.62,-97.4,TX,38575.0
76126,32.64,-97.52,TX,24946.0
76131,32.88,-97.35,TX,47569.0
76132,32.67,-97.42,TX,26437.0
76133,32.65,-97.38,TX,54186.0
76134,32.64,-97.33,TX,29208.0
76135,32.84,-97.47,TX,18939.0
76137,32.86,-97.29,TX,59273.0
76140,32.62,-97.27,TX,31703.0
76148,32.87,-97.25,TX,24578.0
76179,32.91,-97.44,TX,70425.0
76180,32.84,-97.22,TX,36974.0
76182,32.88,-97.21,TX,30911.0
76201,33.22,-97.15,TX,28415.0
76205,33.19,-97.13,TX,20365.0
76207,33.22,-97.19,TX,15961.0
76208,33.21,-97.06,TX,26598.0
76209,33.23,-97.11,TX,26660.0
76210,33.15,-97.1,TX,44367.0
76225,33.37,-97.67,TX,3193.0
76226,33.11,-97.17,TX,34829.0
76227,33.27,-96.99,TX,43088.0
76230,33.52,-97.94,TX,9921.0
76233,33.54,-96.9,TX,3535.0
76234,33.28,-97.51,TX,19147.0
76240,33.66,-97.18,TX,29209.0
76244,32.93,-97.28,TX,74884.0
76247,33.1,-97.33,TX,16511.0
76248,32.93,-97.23,TX,40553.0
76249,33.28,-97.3,TX,9235.0
76252,33.68,-97.39,TX,2424.0
76255,33.82,-97.72,TX,5514.0
76258,33.37,-96.92,TX,7056.0
76259,33.2,-97.32,TX,5469.0
76262,33.01,-97.22,TX,40159.0
76265,33.74,-97.54,TX,1529.0
76266,33.37,-97.22,TX,17658.0
76270,33.45,-97.76,TX,1697.0
76271,33.47,-96.91,TX,1873.0
76273,33.75,-96.94,TX,9922.0
76301,33.91,-98.48,TX,15062.0
76302,33.87,-98.48,TX,11423.0
76306,33.95,-98.53,TX,14781.0
76308,33.86,-98.54,TX,20028.0
76309,33.9,-98.54,TX,14082.0
76310,33.81,-98.51,TX,19279.0
76354,34.1,-98.62,TX,11825.0
76365,33.75,-98.21,TX,4491.0
76374,33.35,-98.76,TX,3595.0
76384,34.14,-99.32,TX,12304.0
76401,32.28,-98.2,TX,29724.0
76424,32.8,-98.89,TX,8552.0
76431,33.31,-97.86,TX,4376.0
76433,32.31,-98.01,TX,1934.0
76437,32.39,-99.02,TX,5593.0
76442,31.89,-98.61,TX,7697.0
76443,32.12,-99.2,TX,2019.0
76444,32.12,-98.57,TX,3477.0
76446,32.08,-98.35,TX,8876.0
76448,32.39,-98.8,TX,4991.0
76449,32.92,-98.33,TX,2339.0
76450,33.06,-98.64,TX,13090.0
76453,32.57,-98.34,TX,1515.0
76457,31.95,-98.03,TX,4194.0
76458,33.22,-98.19,TX,5930.0
76462,32.52,-98.03,TX,4914.0
76470,32.5,-98.67,TX,3432.0
76471,32.11,-98.98,TX,1500.0
76475,32.65,-98.51,TX,1031.0
76476,32.37,-97.92,TX,3406.0
76501,31.08,-97.25,TX,17357.0
76502,31.09,-97.41,TX,45515.0
76504,31.14,-97.38,TX,23916.0
76511,30.8,-97.42,TX,2497.0
76513,31.06,-97.5,TX,42610.0
76520,30.87,-96.9,TX,7692.0
76522,31.22,-97.97,TX,40050.0
76527,30.84,-97.8,TX,4262.0
76528,31.44,-97.78,TX,19355.0
76530,30.71,-97.42,TX,2277.0
76531,31.68,-98.19,TX,4516.0
76534,30.88,-97.37,TX,2953.0
76537,30.82,-97.61,TX,10273.0
76539,31.09,-98.0,TX,8665.0
76541,31.11,-97.73,TX,18521.0
76542,31.0,-97.73,TX,50527.0
76543,31.12,-97.64,TX,33350.0
76548,31.05,-97.65,TX,31759.0
76549,31.02,-97.83,TX,53138.0
76550,31.08,-98.22,TX,13789.0
76554,30.98,-97.37,TX,2360.0
76557,31.29,-97.4,TX,6063.0
76559,31.08,-97.61,TX,6260.0
76561,31.43,-97.54,TX,1259.0
76567,30.65,-97.01,TX,8790.0
76569,30.94,-97.22,TX,3174.0
76570,31.08,-96.94,TX,2661.0
76571,30.93,-97.58,TX,9384.0
76574,30.58,-97.39,TX,19126.0
76577,30.62,-97.18,TX,3120.0
76578,30.53,-97.24,TX,1453.0
76579,31.2,-97.26,TX,7068.0
76626,32.11,-96.72,TX,1309.0
76627,32.11,-97.39,TX,1499.0
76633,31.69,-97.33,TX,6286.0
76634,31.81,-97.57,TX,7207.0
76636,32.17,-97.28,TX,1507.0
76638,31.55,-97.45,TX,3095.0
76639,31.87,-96.66,TX,1638.0
76642,31.5,-96.53,TX,5917.0
76643,31.45,-97.2,TX,15707.0
76645,32.01,-97.13,TX,10762.0
76648,31.85,-96.81,TX,2554.0
76651,32.18,-96.87,TX,3984.0
