state,zipcode,Net_Income
TX,75933,2921
TX,75935,32896
TX,75936,1764
TX,75937,2504
TX,75938,4947
TX,75939,9197
TX,75941,19338
TX,75942,515
TX,75943,2822
TX,75944,2579
TX,75946,6953
TX,75948,11752
TX,75949,16069
TX,75951,36652
TX,75954,6771
TX,75956,13534
TX,75959,1774
TX,75960,1916
TX,75961,36491
TX,75964,45775
TX,75965,32922
TX,75966,9879
TX,75968,3713
TX,75969,8048
TX,75972,14813
TX,75973,4810
TX,75974,6799
TX,75975,7059
TX,75976,2532
TX,75977,1496
TX,75979,17317
TX,75980,4516
TX,76001,62474
TX,76002,64915
TX,76006,71871
TX,76008,19648
TX,76009,47032
TX,76010,165199
TX,76011,73189
TX,76012,57772
TX,76013,70435
TX,76014,105122
TX,76015,44058
TX,76016,50829
TX,76017,91671
TX,76018,65555
TX,76020,54443
TX,76021,64096
TX,76022,32413
TX,76023,12541
TX,76028,112463
TX,76031,38907
TX,76033,55260
TX,76034,24511
TX,76035,2877
TX,76036,52998
TX,76039,70815
TX,76040,74509
TX,76041,646
TX,76043,12991
TX,76044,8018
TX,76048,52038
TX,76049,48229
TX,76050,11622
TX,76051,76956
TX,76052,25013
TX,76053,74829
TX,76054,17626
TX,76055,6055
TX,76058,40768
TX,76059,12441
TX,76060,16125
TX,76061,1158
TX,76063,110430
TX,76064,3264
TX,76065,51914
TX,76066,6438
TX,76067,47126
TX,76070,713
TX,76071,7385
TX,76073,9178
TX,76077,922
TX,76078,16029
TX,76082,37748
TX,76084,17549
TX,76085,20528
TX,76086,49389
TX,76087,46379
TX,76088,21008
TX,76092,27115
TX,76093,4500
TX,76102,17634
TX,76103,38295
TX,76104,56394
TX,76105,76691
TX,76106,103883
TX,76107,59357
TX,76108,83961
TX,76109,30322
TX,76110,77452
TX,76111,58797
TX,76112,129028
TX,76114,64954
TX,76115,64057
TX,76116,124420
TX,76117,87850
TX,76118,33317
TX,76119,149353
TX,76120,47782
TX,76123,66511
TX,76126,34174
TX,76127,2239
TX,76131,67305
TX,76132,57600
TX,76133,121891
TX,76134,69845
TX,76135,44091
TX,76137,114470
TX,76140,78114
TX,76148,50855
TX,76155,11643
TX,76164,45752
TX,76177,22362
TX,76179,93746
TX,76180,81365
TX,76182,47766
TX,76201,67582
TX,76205,47642
TX,76207,28551
TX,76208,46446
TX,76209,62663
TX,76210,65957
TX,76225,5774
TX,76226,26582
TX,76227,50228
TX,76228,1753
TX,76230,19588
TX,76233,6265
TX,76234,32059
TX,76238,749
TX,76239,1957
TX,76240,56682
TX,76244,96038
TX,76245,4296
TX,76247,24631
TX,76248,43697
TX,76249,14419
TX,76250,1508
TX,76251,1327
TX,76252,5562
TX,76255,11307
TX,76258,13571
TX,76259,8934
TX,76262,45719
TX,76264,2998
TX,76265,3457
TX,76266,29107
TX,76268,723
TX,76270,3703
TX,76271,2993
TX,76272,9018
TX,76273,18340
TX,76301,46861
TX,76302,27604
TX,76305,10291
TX,76306,36801
TX,76308,41917
TX,76309,32740
TX,76310,33979
TX,76311,8412
TX,76351,3799
TX,76354,24666
TX,76357,1098
TX,76360,6239
TX,76363,684
TX,76365,9549
TX,76366,4037
TX,76367,17504
TX,76370,489
TX,76371,3361
TX,76372,1639
TX,76374,7431
TX,76377,1480
TX,76379,1042
TX,76380,7911
TX,76384,28533
TX,76389,3076
TX,76401,54848
TX,76424,17403
TX,76426,21733
TX,76427,1477
TX,76430,4433
TX,76431,6948
TX,76432,2544
TX,76433,2023
TX,76435,1309
TX,76436,516
TX,76437,12217
TX,76442,15816
TX,76443,3717
TX,76444,8197
TX,76445,740
TX,76446,17280
TX,76448,13155
TX,76449,5042
TX,76450,26171
TX,76453,2147
TX,76454,3584
TX,76455,1789
TX,76457,7233
TX,76458,10294
TX,76460,652
TX,76462,5474
TX,76463,831
TX,76464,949
TX,76466,517
TX,76470,6444
TX,76471,3482
TX,76472,3064
TX,76474,529
TX,76475,1889
TX,76476,4613
TX,76483,1845
TX,76484,1735
TX,76486,2449
TX,76487,4341
TX,76491,843
TX,76501,41978
TX,76502,70664
TX,76504,65744
TX,76511,5035
