zipcode,P_2015,P_2016,P_2017,P_2018,P_2019,P_2020,P_2021,P_2022,P_2023,Net_Income
75104,141743.35,157799.1,175707.3,194773.72,207818.83,220211.75,257959.18,314139.83,316922.07,103520.0
75110,83091.8,88697.56,97154.41,106716.16,114880.79,122519.1,142998.0,165641.92,176472.98,70091.0
75114,137278.32,152374.7,169161.86,185183.17,195323.3,205390.73,242388.64,292053.62,287654.27,9471.0
75115,151689.95,169543.27,188613.16,207711.3,220656.26,232217.08,270898.0,328450.6,330915.93,123440.0
75116,112547.58,127567.63,143576.97,163077.42,177476.69,188006.31,218250.76,262955.42,268623.96,51910.0
75117,132286.56,138487.09,149236.74,161582.79,175675.75,190168.84,225836.48,261901.33,255988.89,7900.0
75119,121928.62,135302.7,151563.69,168591.89,180827.91,195420.44,226061.83,259323.52,254915.07,59550.0
75124,150433.73,157887.13,171012.15,183577.07,193295.91,210292.4,261450.89,306321.82,298276.57,10203.0
75125,123578.86,132726.21,154778.74,183839.61,197251.42,216128.39,247649.42,278321.16,267896.57,17287.0
75126,192120.79,210701.84,228514.22,240099.16,244812.86,250259.16,293559.15,359205.72,346539.45,63727.0
75134,110348.73,127334.81,144207.53,162109.43,175349.61,186864.84,219250.78,269816.49,274250.26,60643.0
75135,154926.31,171161.8,196685.34,221268.08,237003.28,255217.42,301175.57,359003.55,356820.32,12658.0
75137,125167.76,142120.7,160652.19,180872.56,193690.86,204817.84,236901.68,283932.45,287344.06,45779.0
75140,120135.19,124271.11,131182.0,138023.28,153530.31,173492.68,210562.29,238824.62,222904.46,15629.0
75141,75194.65,87263.96,103676.51,127226.98,149568.58,167916.12,193868.84,236792.76,242159.51,10481.0
75142,133828.45,148762.16,164647.86,182868.34,193287.6,206169.7,244774.55,288512.73,282982.03,41859.0
75144,88309.7,95603.18,101741.14,116346.09,123307.33,138762.31,167658.67,198148.34,199235.71,6864.0
75146,120863.87,138007.16,154933.26,173727.36,187009.62,198437.25,233434.96,285810.54,288253.64,58738.0
75148,140034.25,150198.31,162791.86,174673.48,184247.8,199545.99,255791.19,295823.51,291387.15,14231.0
75149,97750.14,115460.57,135205.44,152800.71,163341.81,172775.44,198623.41,241957.69,247677.23,150000.0
75150,113024.27,130546.39,149426.02,165931.68,177235.53,188060.63,217145.08,260742.44,266254.39,160064.0
75154,166723.34,184454.03,205214.8,223808.2,235576.94,248925.76,289214.65,345545.53,346892.27,84053.0
75156,157743.0,161057.51,174263.0,190472.58,201745.97,217035.47,281991.1,329664.62,316204.38,32193.0
75158,160550.55,174829.01,192923.15,215152.46,229710.64,244819.42,293174.6,348785.76,339938.94,7563.0
75159,123070.76,139568.14,156554.17,174878.69,186579.62,198415.59,232362.33,286395.92,287143.39,41339.0
75160,114590.17,128605.98,144542.49,160832.38,171552.94,183408.05,215931.02,258428.19,258464.61,61824.0
75161,146839.6,163653.7,177246.3,198395.24,211610.25,227009.99,275249.47,329406.97,326841.42,13101.0
75163,175108.87,177942.99,191905.07,210769.2,220749.94,235289.58,308930.98,367810.03,359387.77,4565.0
75165,162059.29,178863.79,197962.46,215859.12,225182.27,238666.4,278669.91,333064.61,333616.28,86396.0
75166,209190.05,231126.49,247356.59,258603.41,264389.71,272690.98,324056.42,403709.76,387605.41,6009.0
75167,219931.24,240128.19,265676.76,287990.29,300764.32,320380.91,378042.55,450873.52,456916.36,15079.0
75169,119037.1,128106.57,140474.47,157280.47,170498.05,189008.79,224148.18,255307.05,252134.76,33066.0
75172,63842.88,75714.31,84561.43,99369.8,115227.65,139292.71,162823.91,196900.54,203212.8,13351.0
75180,83596.38,98934.59,119113.29,141296.47,153528.91,165164.63,190237.7,230091.95,230087.93,65779.0
75181,156568.84,173551.35,193486.86,210150.29,219328.44,228819.07,267574.75,330317.76,329361.78,54597.0
75182,347042.27,379839.8,402280.87,416866.37,425027.14,438397.11,508712.26,615573.11,636919.97,7442.0
75189,186109.88,204341.6,226088.77,241045.8,245334.4,251965.46,292549.81,364021.41,352560.67,45204.0
75201,587711.63,633327.04,661118.48,687549.64,695717.39,698088.87,750893.67,867553.53,836620.06,21092.0
75202,197161.92,226050.16,242688.63,255369.91,261039.09,263546.23,275425.03,308774.79,309510.81,4612.0
75203,62590.54,77227.13,91938.25,111527.83,124979.77,137322.26,169601.76,203854.98,203655.14,43282.0
75204,300754.2,337329.87,362165.83,383073.07,386681.18,390635.91,423693.36,480879.5,491783.08,55967.0
75205,1003043.43,1056838.67,1074770.79,1103672.22,1112312.2,1130063.41,1315597.56,1637553.29,1716398.65,19355.0
75206,321127.7,360283.36,383150.24,406327.6,415904.09,422943.08,467230.44,540771.27,547033.48,57181.0
75208,182860.79,221942.37,254291.91,286937.05,297314.02,313823.13,353850.62,404228.74,411282.78,71152.0
75209,471241.07,522083.0,554010.16,584374.97,593442.77,601874.0,675238.88,817384.82,846092.43,23756.0
75210,48565.52,51731.05,59454.13,74279.29,84009.41,96094.69,115890.92,138843.3,139193.34,28022.0
75211,92785.93,108981.28,124545.59,140565.57,153663.26,166786.05,192663.62,228845.42,233564.77,194248.0
75212,65642.08,80744.02,99283.35,124514.98,145705.18,162802.78,188044.49,224938.18,230956.77,80059.0
75214,401759.28,441466.65,463647.56,484540.52,494771.84,509119.67,578532.86,681219.34,711708.98,47441.0
75215,49433.25,57131.14,65823.69,81642.41,94985.51,106010.73,131359.65,160577.24,161714.36,57310.0
75216,49628.68,59989.94,71808.66,90906.07,105424.72,122078.83,145927.86,176874.74,176048.5,173753.0
75217,63902.37,79789.98,98791.7,117923.4,131477.59,142659.62,165314.35,201128.58,204618.16,245254.0
75218,262517.57,294834.67,321605.5,344288.41,350129.22,359669.37,407453.78,473468.17,499340.78,38855.0
75219,249260.28,277092.27,293299.61,305403.99,307319.0,309597.26,329978.24,371939.14,379239.7,47949.0
75220,190091.15,225094.76,250457.93,274781.01,283794.58,297288.86,343451.28,410156.26,430734.87,101351.0
75223,92669.03,107069.71,118759.13,139303.29,155939.48,174829.2,206693.16,242017.0,240010.67,38533.0
75224,94976.16,112215.26,131546.4,151153.55,165299.63,176608.67,204151.86,240375.98,239881.35,96403.0
75225,910465.14,967023.67,987578.01,1008145.85,1015020.99,1030785.2,1190844.89,1453572.88,1532262.69,20210.0
75226,142999.09,171487.77,191476.72,214761.2,238566.22,265393.54,293797.04,339219.1,336919.78,7498.0
75227,82185.68,101731.82,121875.04,139531.07,150657.17,160432.08,185896.24,222266.94,225729.99,166856.0
75228,113993.41,134009.38,156594.02,177809.52,190809.44,203197.75,234648.95,275167.86,278755.97,189159.0
75229,316030.34,357431.33,383527.03,403167.7,415488.4,433373.05,494536.83,585817.7,614791.71,61631.0
75230,439387.79,478460.44,504474.54,528545.0,532921.96,543804.43,616296.27,748044.44,786587.33,42207.0
75231,101754.04,118577.75,136672.92,154206.57,163624.39,171927.53,189668.99,223990.3,237278.15,110106.0
75232,86344.51,102394.86,120708.87,140940.16,156556.81,170076.94,198726.88,240593.53,244476.58,92669.0
75233,122257.63,141453.82,161127.21,183027.6,198421.77,212521.57,247072.93,297607.24,301706.26,37773.0
75234,157221.5,180306.82,207880.32,233056.41,244633.01,258116.26,294483.16,341646.65,348664.29,79999.0
75235,107736.19,132052.68,152140.73,170670.48,179884.93,189196.43,212196.05,245664.77,250008.39,46939.0
75236,113873.54,130563.61,146398.73,162783.62,173906.94,186674.01,217466.63,264621.77,270703.02,48027.0
75237,113395.44,128518.43,146374.47,163907.99,177683.25,190503.77,221628.3,269984.68,273370.79,64572.0
75238,294946.97,329000.73,354348.96,372422.56,380622.26,393734.39,450149.04,522973.91,549749.83,59210.0
75240,170095.88,194867.89,220172.86,244689.26,250381.13,261634.85,297652.07,353797.81,375336.26,64460.0
75241,66795.09,81539.92,100001.34,120795.11,136500.74,147812.56,172567.26,212038.05,215346.67,105116.0
75243,120344.63,139912.11,160402.16,179796.22,187300.19,194283.92,220901.78,263160.59,271538.1,186425.0
75244,330642.41,368582.66,388095.71,407098.9,419215.68,440090.84,499483.87,592147.75,620102.31,19634.0
75246,178744.59,206578.38,229780.63,251271.9,264118.61,286773.21,320329.52,356573.58,352234.26,6549.0
75248,287476.21,323266.44,350855.97,375529.21,379932.36,395010.42,440028.84,516476.01,542839.91,55309.0
75249,126806.4,144472.97,162106.12,180344.67,192804.53,205450.38,239613.34,287474.48,291823.69,34126.0
75252,332542.31,361266.12,383101.6,393340.58,393462.19,403943.27,460470.97,554121.82,571772.69,46230.0
75253,99781.37,116791.51,135436.35,156144.85,169204.01,182850.64,213927.74,264528.65,267956.08,53014.0
75254,127946.04,146348.32,166427.73,180443.93,186350.32,191796.37,209103.39,245776.14,252725.58,57576.0
75287,257121.9,282718.71,303747.57,314199.07,315534.23,325001.38,367532.57,437957.69,450547.44,122823.0
75401,60589.64,66931.91,74810.83,91648.04,105056.58,121087.4,150761.67,188664.95,189663.5,50753.0
75402,127778.23,140700.37,156235.19,174162.2,186197.85,198851.48,232083.95,280188.44,280570.94,30152.0
75407,170246.89,191805.18,211998.11,228323.0,233895.42,237755.52,278054.89,353574.17,339432.45,39251.0
75409,187030.54,205642.85,226018.13,240457.07,244313.24,249714.91,293375.79,375522.59,360144.85,26423.0
75414,152951.21,163998.85,181333.69,204849.02,214058.68,228653.27,274990.9,331412.77,341468.16,5846.0
75416,126250.71,129034.83,139163.68,145579.1,146543.26,156500.77,187904.67,224341.65,217548.57,6237.0
75417,99590.89,98290.66,99589.24,113967.52,117062.35,124403.02,143026.99,160368.09,152399.89,5107.0
75418,93869.73,103928.24,116418.19,129866.64,143357.35,153473.51,181765.7,218612.51,216554.98,23918.0
75422,155806.52,168010.68,186736.35,202010.14,222061.6,243215.88,290518.56,349998.59,355896.84,5406.0
75423,142822.81,157981.61,177373.0,195320.2,211621.23,232268.78,277279.46,327343.39,330128.71,5013.0
75426,66417.75,69380.84,68389.45,75721.84,76076.43,84446.99,100538.84,109359.35,98848.55,14482.0
75428,76830.21,83295.25,94550.12,108985.73,122067.52,133362.15,160000.9,196488.88,200464.88,20522.0
75432,74431.75,78441.85,83636.37,86507.04,94004.3,99750.86,123540.03,153138.17,152611.36,7141.0
75435,92028.86,92537.59,93446.36,104211.38,105963.03,114263.45,143158.65,168772.95,156983.25,2146.0
75436,111806.83,111247.16,116420.84,125327.2,126260.2,137539.92,165758.31,197374.25,191676.53,4661.0
75438,135063.42,150685.78,165145.05,182713.73,196141.96,211258.69,255169.99,311240.58,309345.05,1976.0
75440,163367.96,169371.23,179813.37,198661.24,215925.05,231836.47,271444.82,318838.65,310281.81,12782.0
75446,97344.81,106881.07,116456.11,127700.16,135888.8,151679.4,177914.07,209592.36,203726.2,6710.0
75447,158942.02,174902.49,193229.05,205745.93,220825.53,236837.84,290042.39,348472.38,341554.06,2138.0
75449,74666.49,81837.85,94385.1,103278.65,113220.37,124829.01,155180.1,185106.02,171981.29,2214.0
75452,134625.45,149117.71,163848.47,180868.53,199889.52,214759.93,256128.92,307088.73,309145.63,8079.0
75453,124217.11,135518.31,152681.32,169339.81,189071.31,208223.32,242361.33,286229.39,284649.56,6466.0
75454,241328.12,262881.09,280705.86,291451.82,294250.48,299499.78,360008.94,468136.9,454596.07,13172.0
75455,115158.1,123118.88,130334.55,138222.11,147113.59,157754.22,186769.96,215647.61,218076.69,70314.0
75457,144880.07,149669.59,153139.04,162378.94,169302.89,184823.84,220666.58,256576.0,257596.87,14351.0
75459,140837.76,156702.52,176162.79,195646.94,203706.0,215402.64,248604.73,295108.26,305551.03,9030.0
75460,84187.35,84875.32,87401.3,90306.89,90568.59,98792.29,118900.1,134756.66,127187.31,64165.0
75462,149504.25,154782.02,168296.43,181061.12,180924.4,190701.92,225263.68,265431.84,265361.51,21316.0
75473,147527.04,153366.33,172736.72,185909.82,184358.09,195401.0,231970.45,273144.46,270628.93,6869.0
75479,130745.59,138370.53,150425.8,164195.76,180335.25,198168.16,234221.25,273088.55,267443.89,3981.0
75486,153379.83,162040.39,185127.42,197813.21,194115.81,203938.48,247881.1,292171.64,284497.46,4647.0
75490,163464.67,180983.66,199771.78,219383.76,240046.78,257708.17,306159.06,374514.69,384833.24,4015.0
75491,144097.56,157194.07,180604.23,203595.71,214138.08,225255.42,268064.55,322157.11,321237.74,9001.0
75494,131028.6,136998.64,146327.92,158062.82,166961.65,183933.63,223544.14,253439.83,252629.3,23489.0
75495,199554.42,219415.83,240125.03,266353.19,275237.09,288461.28,341047.65,414089.1,421069.01,12958.0
75496,101797.2,117841.38,134227.74,144256.6,156466.84,171212.81,203324.66,249807.54,251688.84,6613.0
75497,188031.51,198322.19,212299.35,227681.19,246678.29,274560.2,357342.43,412364.93,400291.25,7041.0
75501,97324.78,102033.69,99858.07,105059.1,111381.98,120616.16,133950.59,148135.87,140653.0,89338.0
75503,156581.24,162045.85,163524.44,170874.62,178848.92,189140.19,210768.58,240386.28,243219.07,50219.0
75551,105659.26,107018.78,108115.86,111264.9,117791.95,125991.83,146161.6,168401.18,161936.19,23098.0
75554,109341.78,113764.06,115949.17,124933.17,128428.74,136370.86,159758.09,185466.62,174777.81,3036.0
75555,115036.16,119023.9,120271.27,124853.94,134172.08,147691.08,179957.53,204737.56,188145.28,3187.0
75559,106553.81,111304.69,112978.95,121549.27,123791.42,132650.75,153214.42,176728.96,166163.84,12020.0
75561,98073.12,100923.17,102158.3,110307.53,116870.03,126372.31,143308.36,157909.36,149999.08,12021.0
75563,85024.03,87326.98,84049.03,87462.74,93878.04,100074.31,119494.7,143120.98,131749.2,9149.0
75568,94984.18,102464.19,102727.06,106218.43,110282.88,116009.04,136327.69,154801.62,143284.05,6894.0
75569,102096.25,107588.79,106716.54,113685.93,119324.23,129083.66,143713.94,160349.79,154762.44,9695.0
75570,101832.21,105597.04,105076.71,112747.44,117634.01,125425.0,143295.72,161885.56,156069.1,18761.0
75571,100408.1,104668.57,111188.0,118881.26,124111.67,132265.93,159439.06,181656.02,170585.74,6109.0
75572,100514.3,103917.07,104382.5,106165.26,110502.08,117718.38,138849.19,161290.03,154290.81,8555.0
75601,128145.74,130360.72,130730.05,138819.19,154336.76,158799.35,166352.79,188435.2,200210.68,35174.0
75602,80141.25,84574.37,84832.86,90677.27,101939.82,106366.35,108817.03,120385.87,126407.84,58327.0
75603,150191.0,157187.42,159805.98,172939.55,187671.15,192422.78,199635.74,223609.89,227943.26,12598.0
75604,142442.12,145713.97,145758.18,153788.03,170677.11,173963.85,179226.44,203878.21,216446.88,70042.0
75605,183533.03,186094.78,188246.0,197521.4,216339.75,219844.86,230724.01,265097.23,276448.03,57649.0
75630,124421.22,121878.17,116045.44,118140.79,121580.34,127408.8,142131.84,162355.21,150060.49,5016.0
75633,126073.81,132291.56,134289.06,137476.74,147711.37,154323.45,168676.96,185740.15,182092.78,28256.0
75638,82637.43,88867.29,91323.66,96019.83,100544.15,109239.58,131876.75,150409.81,148580.83,13795.0
75640,173955.97,179368.08,180269.88,185491.96,195111.19,206618.83,233061.3,267115.62,272246.83,8535.0
75647,121948.2,125675.4,127753.13,135693.96,149062.11,157941.27,168267.64,191917.89,201157.52,29682.0
75650,188874.03,200491.04,197355.34,205088.28,213823.54,225064.55,240283.22,269525.53,277765.2,17812.0
75656,92844.61,98824.54,97995.37,103915.29,110538.45,118345.62,139892.15,161808.77,153076.77,10289.0
75657,131541.98,126049.56,124131.28,130045.32,129443.38,132357.28,145206.95,160512.36,151809.88,18846.0
75662,130558.38,134802.91,133602.77,138448.46,152992.63,158978.01,165234.46,187382.39,198347.35,51436.0
75667,122796.23,134911.08,135262.08,138013.98,145581.07,154598.77,169721.94,195626.41,208673.05,2487.0
75670,84951.18,88448.65,85977.13,86256.34,89948.26,91148.98,93195.33,93885.65,91192.65,46582.0
75672,148191.54,151739.74,149843.29,150471.9,156453.2,163660.67,174135.18,188685.8,192437.76,33747.0
75681,116696.58,126630.4,126622.16,132959.96,142819.4,151142.63,166062.48,185548.71,195477.88,5865.0
75683,97061.72,99149.19,99823.48,106333.73,112408.25,118607.41,131740.24,146764.95,150437.59,8584.0
75686,121386.48,121322.0,122815.68,131105.03,133041.75,141291.79,172169.32,196352.07,201831.27,30967.0
75692,136103.61,143319.81,142886.81,145404.59,150721.84,160088.12,169352.03,182835.78,184678.52,10363.0
75693,154358.48,157974.03,158306.76,165874.02,185479.02,193083.87,199858.32,226717.77,238649.56,12228.0
75701,117417.48,122944.2,130452.44,139520.29,142944.28,153240.6,172959.56,200239.4,220163.78,81466.0
75702,64600.57,68472.16,76635.69,84424.12,87511.0,95723.78,112356.29,123672.81,138563.3,84110.0
