zipcode,latitude,longitude,state,population,Net_Income,bedroom_number,bathroom_number,living_space,land_space,Year,Price
78217,29.54,-98.42,TX,33130,93609,3,2,1710,6055,2017,152000.26
78218,29.49,-98.4,TX,36334,99830,3,2,1834,6144,2017,131246.76
78219,29.44,-98.38,TX,16304,48710,3,2,1380,5824,2017,107950.15
78220,29.41,-98.4,TX,15808,57214,3,2,1343,6072,2017,88103.7
78221,29.28,-98.48,TX,41964,108631,3,2,1500,5919,2017,119253.85
78222,29.37,-98.38,TX,23652,55368,3,2,1727,5310,2017,141284.45
78223,29.31,-98.39,TX,54438,147168,3,2,1672,5327,2017,126220.73
78224,29.31,-98.54,TX,20306,58627,3,2,1748,6144,2017,132351.93
78225,29.39,-98.53,TX,14115,39947,3,2,1331,5947,2017,93205.38
78226,29.38,-98.57,TX,7109,20532,4,3,2222,6556,2017,94215.37
78227,29.4,-98.64,TX,46350,141500,3,2,1520,6919,2017,110092.31
78228,29.46,-98.57,TX,56781,173814,3,2,1534,6093,2017,121181.86
78229,29.51,-98.57,TX,34633,87494,3,2,1765,6163,2017,143965.39
78230,29.55,-98.56,TX,42892,88559,4,3,2578,5158,2017,240085.9
78231,29.58,-98.55,TX,10109,13240,4,3,3004,3117,2017,289644.63
78232,29.59,-98.48,TX,36825,62258,4,3,2421,5053,2017,248734.94
78233,29.55,-98.36,TX,46281,111719,3,2,1975,6406,2017,150934.02
78237,29.42,-98.57,TX,38772,120478,3,2,1377,5680,2017,83375.91
78238,29.47,-98.62,TX,25737,68037,3,2,1673,5288,2017,145949.4
78239,29.52,-98.36,TX,30482,74135,3,2,1827,5212,2017,144674.41
78240,29.52,-98.61,TX,56810,125422,3,3,1826,4646,2017,174944.21
78242,29.35,-98.61,TX,34084,98904,3,2,1461,6479,2017,100455.67
78244,29.48,-98.35,TX,36233,78222,3,2,1804,5754,2017,139506.36
78245,29.4,-98.74,TX,90956,170611,4,3,2195,5580,2017,167697.78
78247,29.58,-98.41,TX,50588,97382,3,3,1971,5818,2017,181715.83
78248,29.59,-98.53,TX,13840,16398,4,3,2810,5005,2017,330097.17
78249,29.57,-98.61,TX,59035,114259,3,3,1974,5982,2017,195639.19
78250,29.5,-98.67,TX,60101,117078,3,2,1721,6367,2017,157358.57
78251,29.46,-98.68,TX,61970,120693,3,3,2123,5854,2017,170974.3
78252,29.34,-98.7,TX,14832,23136,3,2,1663,4290,2017,163017.89
78253,29.47,-98.79,TX,59752,80995,4,3,2215,5381,2017,240525.59
78254,29.53,-98.73,TX,74490,94961,4,3,2117,5375,2017,207953.01
78255,29.65,-98.66,TX,17545,17492,4,4,3144,4300,2017,348812.36
78256,29.62,-98.63,TX,11554,16539,4,4,3086,4895,2017,387077.19
78257,29.64,-98.58,TX,9201,11807,4,4,4258,3351,2017,541326.9
78258,29.64,-98.49,TX,47072,59565,4,3,3160,5406,2017,322938.08
78259,29.63,-98.42,TX,25691,36711,4,3,2713,5966,2017,263821.16
78260,29.7,-98.49,TX,34038,36936,4,3,2848,4409,2017,327434.83
78261,29.69,-98.4,TX,23992,26929,4,3,2776,5128,2017,298668.92
78263,29.35,-98.31,TX,4806,8893,4,2,2434,9,2017,240181.24
78264,29.2,-98.51,TX,12899,34597,3,2,1767,1006,2017,147658.94
78332,27.72,-98.13,TX,27274,67495,3,2,1881,3082,2017,129124.15
78336,27.94,-97.19,TX,12365,26272,3,2,1789,3601,2017,165323.46
78343,27.62,-97.77,TX,4594,9004,3,2,1733,2715,2017,113450.71
78358,28.07,-97.04,TX,987,7257,2,2,1765,2433,2017,169848.92
78362,27.87,-97.2,TX,10789,22186,3,2,1549,3956,2017,152175.91
78363,27.44,-97.86,TX,29415,64932,4,3,2030,4605,2017,98999.45
78368,28.11,-97.81,TX,8586,23923,3,2,1541,972,2017,116742.96
78370,27.94,-97.6,TX,4857,11687,3,2,1905,3624,2017,170393.47
78372,28,-98.1,TX,5261,12751,3,2,1519,2322,2017,176580.64
78374,27.89,-97.29,TX,19737,32554,4,3,2119,5505,2017,200018.92
78377,28.34,-97.18,TX,3272,8688,2,2,1512,2367,2017,90950.58
78382,28.11,-97.06,TX,18702,36415,3,2,1943,3661,2017,209668.55
78383,28.08,-97.94,TX,5057,7103,3,2,1875,553,2017,162963.98
78387,28.08,-97.55,TX,9791,23025,3,2,1547,3010,2017,129485.92
78390,28,-97.36,TX,5737,15578,3,2,1845,3365,2017,132469
78393,28.18,-97.35,TX,2194,5166,3,2,1441,2238,2017,114357.83
78401,27.8,-97.4,TX,4660,9340,4,3,2354,2508,2017,106878.85
78402,27.82,-97.41,TX,233,917,1,1,617,2008,2017,70352.5
78404,27.77,-97.4,TX,15650,39968,3,2,2012,6289,2017,120897.59
78405,27.77,-97.44,TX,14194,48429,2,1,956,4202,2017,69118.22
78407,27.81,-97.45,TX,2033,7469,3,1,941,6999,2017,83301.37
78408,27.8,-97.44,TX,10294,35007,3,2,1515,4448,2017,78208.02
78409,27.82,-97.51,TX,2312,6781,3,2,1292,7580,2017,135511.91
78410,27.84,-97.59,TX,27623,48433,3,2,1917,5172,2017,175502.91
78411,27.73,-97.39,TX,24194,68176,3,2,1764,5571,2017,144438.8
78412,27.7,-97.34,TX,41071,86302,3,2,1986,5145,2017,146354.83
78413,27.68,-97.4,TX,36989,76213,4,3,2161,6002,2017,191045.69
78414,27.66,-97.37,TX,46133,59896,4,3,2359,5549,2017,224206.73
78415,27.65,-97.49,TX,41583,114287,3,2,1828,5055,2017,130553.75
78416,27.75,-97.44,TX,15030,46456,3,2,1010,5644,2017,84962.24
78417,27.74,-97.47,TX,4400,13505,3,2,1274,5509,2017,126339.31
78418,27.53,-97.29,TX,30015,59205,3,3,1891,4661,2017,207150.24
78501,26.22,-98.24,TX,60855,167076,3,3,1926,5262,2017,109281.86
78503,26.16,-98.25,TX,20444,63452,3,3,2599,4821,2017,104322.73
78504,26.28,-98.24,TX,60740,109596,4,3,2649,5383,2017,158996.88
78516,26.14,-98.12,TX,33963,99032,3,2,1713,5285,2017,82622.12
78520,25.97,-97.55,TX,60592,187042,3,2,2085,4605,2017,100270.56
78521,25.95,-97.32,TX,88791,296007,3,3,1926,3633,2017,89859.44
78526,26,-97.45,TX,58713,130550,4,3,2425,6233,2017,133254.08
78537,26.17,-98.06,TX,51216,142612,3,2,1627,2893,2017,68196.06
78538,26.37,-97.97,TX,10557,35710,3,2,1536,2740,2017,65014.76
78539,26.28,-98.18,TX,36531,74808,4,3,2294,5075,2017,140996.41
78541,26.45,-98.29,TX,45675,111366,3,3,2074,4982,2017,109197.12
78542,26.44,-98.09,TX,84606,188099,3,3,1942,3762,2017,104643.26
78543,26.3,-98.01,TX,8421,29558,4,2,2134,4838,2017,51901.94
78549,26.49,-98.02,TX,1109,3315,0,0,2400,0,2017,39100.02
78550,26.25,-97.66,TX,54486,143984,3,3,2259,4841,2017,107679.04
78552,26.2,-97.75,TX,41382,81494,3,3,2143,3013,2017,130613.6
78557,26.11,-98.25,TX,13939,49066,3,2,1998,5521,2017,104266.73
78559,26.15,-97.83,TX,12819,33932,3,2,1722,4151,2017,82469.94
78560,26.26,-98.5,TX,4417,14865,3,3,2091,2574,2017,79034.16
78566,26.14,-97.42,TX,24551,59131,4,3,2378,2830,2017,113028.88
78570,26.17,-97.91,TX,33221,106119,3,2,1548,5679,2017,62317.34
78572,26.2,-98.36,TX,76645,190657,3,3,2366,4676,2017,109259.76
78573,26.3,-98.3,TX,42523,113965,4,3,2538,3356,2017,114803.64
78574,26.31,-98.37,TX,63660,166189,3,3,2241,4158,2017,97450.13
78575,26.03,-97.55,TX,5077,11064,4,4,3252,276,2017,166804.34
78576,26.33,-98.47,TX,12748,35681,3,3,2400,1,2017,73072.9
78577,26.17,-98.19,TX,79128,222153,3,3,2031,5400,2017,86680.94
78578,26.05,-97.31,TX,10551,31684,3,2,1629,3180,2017,152092.63
78580,26.5,-97.75,TX,13429,33207,3,2,1852,3842,2017,64267.32
78582,26.54,-98.74,TX,44583,109630,3,3,2544,3496,2017,100277
78583,26.28,-97.47,TX,5952,16348,3,3,2062,2093,2017,116765.61
78586,26.11,-97.65,TX,48726,146451,3,2,1770,2537,2017,92438.6
78589,26.15,-98.16,TX,39881,124791,3,2,1603,5646,2017,92237
78593,26.27,-97.82,TX,4857,17646,3,2,1640,12,2017,83374.17
78595,26.31,-98.54,TX,7272,17690,3,3,1779,2218,2017,55048.78
78596,26.11,-98,TX,36852,99703,3,3,2138,4200,2017,87678.03
78602,30.13,-97.33,TX,32646,58312,4,3,2093,3716,2017,219720.16
78605,30.77,-98.05,TX,6955,10477,3,2,1887,4944,2017,211028.09
78606,30.09,-98.46,TX,6890,12279,3,2,2047,1826,2017,288932.15
78609,30.76,-98.45,TX,1966,4596,3,2,1799,730,2017,212456.13
78610,30.08,-97.84,TX,41681,57101,4,3,2095,5185,2017,256024.02
78611,30.79,-98.27,TX,12938,28520,3,3,2175,1540,2017,206578.19
78612,30.09,-97.49,TX,20508,28784,3,2,2192,9,2017,231427.19
78617,30.15,-97.6,TX,28690,57600,3,3,1783,4085,2017,187324.71
78619,30.11,-98.03,TX,6274,5438,4,4,2935,246,2017,499841.7
78620,30.22,-98.13,TX,18564,24815,4,3,2867,2432,2017,414755.78
78623,29.96,-98.22,TX,1132,2349,3,3,2024,4,2017,276301.72
78624,30.29,-98.87,TX,23084,50117,3,3,2996,1843,2017,336970
78626,30.67,-97.6,TX,37235,57363,3,3,1979,5424,2017,235556.37
78628,30.64,-97.75,TX,39391,46846,4,3,2523,5374,2017,317860.13
78629,29.48,-97.45,TX,12011,29492,3,2,1757,2389,2017,139890.09
78631,30.35,-99.31,TX,3020,5911,3,2,2011,25,2017,220769.44
78633,30.74,-97.75,TX,26507,33138,3,2,2199,5062,2017,323880.14
78634,30.56,-97.54,TX,38529,49777,4,3,2062,6024,2017,221938.16
78638,29.66,-97.8,TX,1978,4224,3,2,1946,800,2017,239250.46
78639,30.66,-98.46,TX,7999,17017,3,3,2148,3091,2017,269814.94
78640,30,-97.82,TX,63902,111814,3,2,1979,5764,2017,208917.06
78642,30.69,-97.94,TX,18347,21407,4,3,2414,4108,2017,300577.77
78644,29.87,-97.67,TX,20119,42232,3,2,1841,3734,2017,163940.51
78645,30.45,-97.97,TX,14360,19789,3,3,2340,3655,2017,279941.4
78648,29.7,-97.64,TX,7803,18453,3,2,1705,1654,2017,141181.15
78650,30.31,-97.22,TX,2539,2650,4,3,2358,21,2017,244306.33
78652,30.13,-97.86,TX,5014,8089,3,3,2038,2942,2017,305748.68
78653,30.34,-97.52,TX,30955,44040,4,3,2112,5417,2017,215096.6
78654,30.57,-98.21,TX,18833,42540,3,3,2152,3414,2017,247624.52
78655,29.82,-97.84,TX,3696,6337,3,2,1610,2,2017,219837.11
78656,29.9,-97.81,TX,2624,6103,3,2,1802,2711,2017,181822.91
78657,30.53,-98.38,TX,6810,11341,4,4,2934,2763,2017,367526.71
78659,30.21,-97.13,TX,2855,6226,3,2,1729,11,2017,253801.5
78660,30.44,-97.6,TX,110569,153354,4,3,2370,6575,2017,244580.15
78662,29.94,-97.44,TX,2552,4315,3,2,3214,51,2017,242497.29
78663,30.42,-98.31,TX,696,1447,3,2,2608,93,2017,411617.6
78664,30.5,-97.65,TX,60152,114168,4,3,2066,5498,2017,218805.7
78666,29.88,-97.98,TX,83858,192490,3,3,1992,5258,2017,216229.86
78669,30.43,-98.13,TX,10730,15801,4,3,2859,1546,2017,428535.16
78672,30.88,-98.49,TX,825,2313,3,2,1623,959,2017,125747.68
78676,30.04,-98.15,TX,15241,25049,3,3,2450,1159,2017,321850.82
78681,30.54,-97.72,TX,57451,69173,4,3,2569,5919,2017,296326.59
78701,30.27,-97.74,TX,9560,11900,2,2,1630,481,2017,584363.63
78702,30.26,-97.71,TX,24830,58884,3,2,1433,4932,2017,386100.02
78703,30.29,-97.77,TX,22111,24300,3,3,2598,4783,2017,856770.51
78704,30.24,-97.77,TX,49854,95227,3,3,1704,3549,2017,515391.33
78705,30.29,-97.74,TX,32506,37015,2,2,1049,1135,2017,357292.12
78719,30.14,-97.67,TX,1856,5049,3,2,2220,5,2017,201190.93
78721,30.27,-97.68,TX,10728,32149,3,2,1488,4543,2017,270647.29
78722,30.29,-97.71,TX,5938,14082,2,2,1334,4987,2017,399127.49
78723,30.3,-97.69,TX,36114,74485,3,3,1878,5353,2017,344358.95
78724,30.29,-97.61,TX,25936,65190,4,3,1987,5953,2017,202613.51
78725,30.24,-97.61,TX,9082,18541,3,2,1562,5434,2017,190186.69
78726,30.43,-97.84,TX,13414,23869,4,4,3176,4113,2017,429273.88
78727,30.43,-97.72,TX,29991,44560,3,3,1928,6317,2017,291597.38
78728,30.46,-97.69,TX,25359,52550,3,2,1749,5307,2017,258319.83
78729,30.46,-97.76,TX,30907,55960,3,2,1899,4713,2017,277955.9
78730,30.36,-97.84,TX,9455,7811,3,3,2967,4099,2017,591929.71
78731,30.35,-97.77,TX,26506,33742,3,3,2624,3039,2017,627131.68
78733,30.32,-97.88,TX,9500,9196,4,4,3696,508,2017,621496.95
78734,30.38,-97.95,TX,21625,30662,3,3,2726,3024,2017,404651.55
78736,30.25,-97.95,TX,9481,13701,3,3,2201,2720,2017,352199.25
78737,30.19,-97.96,TX,24783,16987,4,4,3402,2911,2017,450205.75
78741,30.23,-97.71,TX,46147,144487,3,2,1325,4918,2017,258043.26
78744,30.18,-97.73,TX,48524,126390,3,3,1866,5230,2017,204301.28
78745,30.21,-97.8,TX,62277,135741,3,2,1498,5146,2017,277350.09
78746,30.3,-97.81,TX,28017,26853,4,4,3856,1499,2017,919946.28
78747,30.13,-97.74,TX,20698,38311,3,3,1979,5259,2017,245585.92
78748,30.16,-97.82,TX,53501,90212,3,3,1895,5304,2017,276605.76
78749,30.21,-97.86,TX,35933,45777,3,3,2109,6450,2017,342569.01
78750,30.42,-97.8,TX,29559,40121,3,3,2278,4596,2017,380746.28
78751,30.31,-97.72,TX,15856,36614,3,2,1604,5752,2017,424028.39
78752,30.33,-97.7,TX,21178,51592,3,2,1463,6117,2017,278122.36
78753,30.38,-97.67,TX,58805,142781,3,2,1656,5433,2017,223163.56
78754,30.36,-97.64,TX,29690,47054,4,3,1911,5572,2017,237263.82
78756,30.32,-97.74,TX,9314,13283,3,3,1908,4098,2017,500928.82
78757,30.35,-97.73,TX,25547,38484,3,2,1612,5698,2017,415848.77
78758,30.39,-97.71,TX,50717,116974,3,2,1526,5331,2017,237399.71
78759,30.4,-97.76,TX,44978,62423,3,3,2152,3901,2017,429728.11
78801,29.36,-99.88,TX,21435,56664,3,2,1922,2361,2017,135125.81
78834,28.55,-99.87,TX,7316,19854,3,2,1866,1509,2017,94941.39
78839,28.71,-99.76,TX,7796,23063,3,1,1129,6028,2017,67733.92
78840,29.74,-100.92,TX,46970,120332,3,2,28162,2664,2017,130459.46
78852,28.83,-100.32,TX,56746,148956,3,2,1648,4453,2017,153518.92
78861,29.42,-99.16,TX,13272,27538,3,2,1614,1058,2017,159480
78872,28.91,-99.88,TX,1014,4266,4,2,1900,12,2017,62817.86
78933,29.77,-96.34,TX,1357,2260,2,2,1787,16,2017,306278.96
78934,29.7,-96.57,TX,6626,14218,3,3,2428,988,2017,180176.06
78940,29.93,-96.67,TX,2164,3654,3,2,2136,1774,2017,358257.1
78941,29.74,-97.16,TX,3076,6147,3,2,2027,704,2017,258628.46
78942,30.17,-96.93,TX,9627,19591,4,3,2407,3641,2017,175874.01
78945,29.92,-96.89,TX,10570,20302,3,2,2298,533,2017,228297.69
78946,30.19,-96.77,TX,955,2224,2,2,1775,13,2017,293489.46
78947,30.42,-97.04,TX,4589,8507,4,3,2620,705,2017,227927.45
78950,29.91,-96.49,TX,2166,2928,3,3,2488,24,2017,316179.26
78953,29.86,-97.35,TX,930,1987,3,2,1900,40,2017,323398.1
78954,30.05,-96.7,TX,1245,1956,4,4,3254,11,2017,500495.09
78956,29.68,-96.93,TX,5436,11741,3,2,2199,342,2017,229371.07
78957,30.01,-97.17,TX,9685,18979,3,2,1790,2462,2017,198931.6
78962,29.67,-96.74,TX,4801,8891,3,2,2580,1501,2017,180709.84
79007,35.67,-101.41,TX,13915,23236,3,2,1591,6268,2017,72815.03
79015,34.95,-101.9,TX,22493,35924,3,2,2112,2576,2017,180983.6
79019,34.98,-101.39,TX,1914,3145,3,2,1344,0,2017,123062.73
79029,35.9,-102.03,TX,15875,31395,3,2,1654,5725,2017,129253.6
79035,34.68,-102.79,TX,5434,9592,2,1,1398,0,2017,90581.8
79036,35.6,-101.55,TX,5035,7871,3,2,1623,1460,2017,103820.08
79041,34.04,-101.93,TX,2821,6552,4,3,2612,8000,2017,87892.19
79042,34.75,-101.89,TX,1203,1775,4,2,528,3265,2017,93463.31
79045,34.9,-102.51,TX,18634,45514,3,2,2179,4257,2017,82235.95
79065,35.52,-100.9,TX,19538,35978,3,1,1598,6009,2017,69550.99
79068,35.34,-101.45,TX,3253,4382,3,2,1800,5147,2017,120791.58
79072,34.17,-101.74,TX,25831,58248,3,2,2794,4219,2017,82197.45
79086,36.14,-101.79,TX,3023,3281,3,2,1848,1800,2017,113798.68
79088,34.57,-101.69,TX,5213,11453,3,2,2290,2940,2017,55828.35
79101,35.21,-101.84,TX,2335,7250,2,2,2108,7000,2017,62136.27
79102,35.2,-101.85,TX,9898,25630,3,2,1850,5809,2017,94213.76
79103,35.18,-101.8,TX,10758,27422,3,2,1204,6155,2017,87816.38
79104,35.2,-101.79,TX,6705,21793,3,1,1206,6221,2017,53976.26
79106,35.2,-101.89,TX,27668,66048,3,2,1871,5927,2017,105360.4
79107,35.23,-101.79,TX,39829,96662,3,2,1184,6183,2017,54552.23
79108,35.38,-101.8,TX,10549,25986,3,2,1714,1274,2017,116054.53
79109,35.17,-101.89,TX,43167,90547,3,2,2162,4258,2017,153323.78
79110,35.15,-101.87,TX,19235,42393,3,2,1337,5548,2017,105351.57
79118,35.1,-101.75,TX,25963,44402,3,2,2181,3908,2017,169966.68
79119,35.11,-102.02,TX,20387,23468,4,3,2715,2367,2017,256834.62
79121,35.17,-101.93,TX,5388,9425,3,3,2511,3055,2017,199445.09
79124,35.27,-102.03,TX,10847,13974,4,3,2614,1076,2017,258389.5
79201,34.41,-100.34,TX,6817,12327,3,2,1382,4327,2017,59930.71
79311,33.86,-101.88,TX,3767,6638,4,2,1794,5249,2017,100489.68
79316,33.13,-102.31,TX,10180,23289,3,2,2384,2441,2017,101873.68
79322,33.66,-101.2,TX,1802,4531,3,2,1448,4814,2017,60973.7
79325,34.41,-102.94,TX,2218,3425,4,2,2424,1,2017,121837.29
79329,33.73,-101.69,TX,3086,5913,3,2,1940,3530,2017,150393.89
79331,32.67,-101.97,TX,11726,22159,3,2,2019,4319,2017,81210.29
79336,33.6,-102.4,TX,15785,33355,3,2,1967,3918,2017,116739.62
79343,33.65,-101.54,TX,1695,3319,2,1,792,7013,2017,70516.21
79358,33.43,-102.2,TX,1365,2452,4,2,2878,9,2017,150931.74
79360,32.69,-102.72,TX,16584,26428,3,2,2381,2466,2017,167698.02
79363,33.71,-102.04,TX,5827,10646,3,3,2390,2600,2017,188670.27
79366,33.53,-101.68,TX,1107,1327,3,3,2717,5649,2017,244676.17
79382,33.47,-102.02,TX,9355,15216,4,2,2159,6533,2017,168058.31
79401,33.59,-101.85,TX,9045,16237,3,3,1729,4828,2017,103727.06
79403,33.64,-101.77,TX,16001,49572,4,2,1750,5918,2017,62426.09
79404,33.53,-101.8,TX,9312,30670,3,2,1827,5404,2017,61774.29
79407,33.57,-102.09,TX,21211,50372,4,3,2341,4897,2017,146072.84
79410,33.57,-101.89,TX,10570,19073,3,2,2169,6621,2017,124791.12
79411,33.57,-101.86,TX,6623,23587,3,1,1263,6854,2017,70579.15
79412,33.55,-101.86,TX,15719,46374,3,2,1638,7094,2017,83370.48
79413,33.55,-101.89,TX,23265,48363,3,2,2121,7113,2017,136032
79414,33.55,-101.92,TX,18081,50705,3,2,1670,7367,2017,107292.21
79415,33.7,-101.9,TX,17048,52098,3,2,1660,4066,2017,67293.32
79416,33.6,-101.98,TX,34864,72316,3,3,2234,5194,2017,144287.01
79423,33.43,-101.85,TX,41950,72027,4,3,2223,6365,2017,168242.58
79424,33.47,-101.94,TX,49721,71354,4,3,2402,6185,2017,213909.14
79501,32.74,-99.89,TX,2686,7137,3,2,1758,3867,2017,82715.77
79504,32.31,-99.35,TX,3147,6042,4,2,2575,1168,2017,107276.43
79508,32.27,-99.83,TX,1061,2579,3,2,2420,1974,2017,151622.29
79510,32.26,-99.53,TX,7673,17131,3,2,2080,1375,2017,122916.65
79511,32.43,-101.27,TX,1165,2144,3,2,2021,857,2017,139642.08
79520,32.88,-100.13,TX,2393,4794,3,2,1923,1423,2017,64544.16
79525,32.63,-99.83,TX,2481,6140,3,2,1772,13,2017,145875.45
79526,32.64,-100.75,TX,868,1745,2,2,2379,9,2017,145102.39
79536,32.47,-100.03,TX,5703,10408,3,2,1720,1147,2017,100089.83
79545,32.42,-100.58,TX,1855,3748,3,2,1958,0,2017,98868.75
79549,32.9,-100.9,TX,15814,25787,3,2,1851,4201,2017,97361.76
79553,32.94,-99.84,TX,3256,7925,3,2,1785,0,2017,75813.81
79556,32.48,-100.39,TX,12687,28969,3,2,1909,5107,2017,99079.32
79562,32.24,-99.87,TX,4150,6309,4,3,2445,916,2017,244111.11
79563,32.42,-99.91,TX,1149,3615,2,2,1756,2,2017,66838.71
79567,31.98,-99.98,TX,3112,7512,3,2,2202,2819,2017,51180.87
79601,32.57,-99.65,TX,27033,43096,3,2,2009,4741,2017,118721.26
79602,32.34,-99.67,TX,26933,44833,3,2,2114,3618,2017,164891.62
79603,32.4,-99.89,TX,23956,67323,3,2,1697,5141,2017,73381.95
79605,32.43,-99.78,TX,28611,76622,3,2,1691,5778,2017,102367.3
79606,32.35,-99.83,TX,26810,48833,4,2,2148,4783,2017,189549.49
79701,31.99,-102.08,TX,30348,67074,3,2,1813,5344,2017,137814.07
79703,31.98,-102.13,TX,22257,40097,3,2,1547,6938,2017,150168.72
79705,32.1,-102.05,TX,40134,58492,4,3,2497,5311,2017,240061.03
79706,31.84,-101.97,TX,31088,45830,3,2,2272,2343,2017,253185.65
79707,32.03,-102.21,TX,36167,46942,4,3,2687,5533,2017,281202
79714,32.33,-102.71,TX,18184,27264,3,2,2207,4955,2017,164874.2
79720,32.2,-101.51,TX,32431,53298,3,2,1818,3803,2017,119198.34
79731,31.45,-102.56,TX,4473,7597,3,2,1863,6294,2017,110985.87
79745,31.85,-103.03,TX,6559,11746,3,2,1811,5649,2017,64557.93
79758,32.01,-102.34,TX,2286,4195,4,3,3573,6,2017,239411.13
79761,31.86,-102.35,TX,31566,64666,3,2,1838,5267,2017,121699.17
79762,31.93,-102.36,TX,40728,72862,3,2,1903,6134,2017,158838.25
79763,31.81,-102.47,TX,35900,78680,3,2,1697,4789,2017,123544.41
79764,31.89,-102.47,TX,25871,49139,3,2,2015,1963,2017,144373.18
79765,31.92,-102.3,TX,20155,16451,4,3,2416,5500,2017,235814.17
79766,31.71,-102.36,TX,10755,15694,3,2,2057,3,2017,199734.29
79772,31.4,-103.59,TX,13843,23205,3,2,1897,4705,2017,123711.63
79782,32.19,-101.89,TX,4782,7208,4,2,2114,2417,2017,148426.74
79821,31.98,-106.6,TX,6645,15035,4,3,2364,3049,2017,119460.99
79830,29.89,-103.5,TX,7948,13327,3,2,1738,3571,2017,167886.05
79836,31.57,-106.21,TX,8042,20343,3,2,1968,1852,2017,112519.44
79838,31.49,-106.17,TX,5687,28624,3,1,1319,4501,2017,84449.31
79849,31.56,-106.25,TX,13183,48590,2,2,1415,1483,2017,86765.52
79901,31.76,-106.48,TX,8518,48289,4,3,2296,5401,2017,72279.85
79902,31.78,-106.5,TX,19984,62002,3,2,1738,4433,2017,162583.75
79903,31.79,-106.44,TX,15849,59770,4,2,2269,4768,2017,99010.29
79904,31.85,-106.45,TX,32148,92505,4,2,2017,4506,2017,102221.76
79905,31.77,-106.43,TX,21953,89820,3,1,1212,2759,2017,86520.83
79907,31.71,-106.33,TX,50696,184936,4,2,1948,5228,2017,100308.38
79911,31.94,-106.54,TX,7668,5577,4,3,2243,5160,2017,233269.13
79912,31.85,-106.53,TX,78470,170804,4,3,3080,4596,2017,182756.19
79915,31.75,-106.37,TX,36505,131598,3,2,2231,5640,2017,96574.15
79922,31.81,-106.56,TX,7210,15818,5,4,3545,2648,2017,231268.17
79924,31.9,-106.41,TX,59420,176934,3,2,1536,6501,2017,103283.49
79925,31.8,-106.36,TX,38947,108925,4,2,1998,5559,2017,141531.29
79927,31.65,-106.27,TX,42140,129618,4,3,2228,4922,2017,111753.3
79928,31.68,-106.12,TX,76392,162337,4,3,1923,5302,2017,152734.7
79930,31.81,-106.47,TX,26787,88252,3,2,1611,5570,2017,99443.1
79932,31.88,-106.61,TX,28594,64695,4,4,2911,2628,2017,183000.01
79934,31.95,-106.43,TX,26916,52143,4,3,1858,5680,2017,144044.67
79935,31.77,-106.33,TX,19073,47940,3,2,1670,4356,2017,145683.58
79936,31.77,-106.3,TX,107579,301052,3,3,2266,4808,2017,126302.68
79938,31.86,-106.04,TX,91575,180180,4,3,2157,4985,2017,157476.85
75001,32.96,-96.84,TX,16287,31081,2,3,1981,1873,2018,332937.39
75002,33.09,-96.61,TX,71102,97936,4,3,3044,3827,2018,296218.09
75006,32.96,-96.9,TX,48104,115491,3,2,1938,5075,2018,230517.64
75007,33,-96.9,TX,54448,100570,3,2,2049,6753,2018,270069.18
75009,33.34,-96.75,TX,24737,16893,4,4,3153,5374,2018,346691.19
75010,33.03,-96.9,TX,30129,43978,4,3,2632,5965,2018,342010.64
75013,33.11,-96.69,TX,44807,41155,4,4,3095,5111,2018,419277.51
75019,32.96,-96.98,TX,44324,47233,4,3,2742,5600,2018,398199.51
75020,33.77,-96.6,TX,23184,52649,3,2,2051,4445,2018,135057.07
75021,33.73,-96.48,TX,9327,19978,3,2,1641,3821,2018,143620.95
75022,33.03,-97.12,TX,26543,23480,4,4,3989,2803,2018,440409.82
75023,33.06,-96.73,TX,48586,81759,4,3,2149,6896,2018,279385
75024,33.08,-96.81,TX,43331,45444,4,4,3048,4243,2018,415696.38
75025,33.09,-96.74,TX,52881,64853,4,3,2947,6563,2018,361787.85
75028,33.03,-97.06,TX,46934,52128,3,3,2501,4733,2018,335505.81
75032,32.86,-96.43,TX,35056,47261,4,4,3769,2767,2018,326314.61
75034,33.12,-96.84,TX,45759,80603,4,4,3720,4412,2018,426948.7
75035,33.16,-96.77,TX,81512,68868,4,3,3029,6299,2018,392916.42
75038,32.87,-96.98,TX,32128,78240,4,3,2762,3817,2018,282234.66
75039,32.89,-96.94,TX,22046,23156,3,3,2135,2112,2018,437056.26
75040,32.93,-96.62,TX,64565,161991,3,2,1745,6422,2018,182610.06
75041,32.88,-96.65,TX,31451,85688,3,2,1739,5937,2018,161530.1
75042,32.91,-96.67,TX,38184,117136,4,2,1676,6334,2018,173399
75043,32.86,-96.58,TX,64845,148867,3,3,2181,5636,2018,189617.47
75044,32.96,-96.65,TX,45895,90049,3,3,2260,5395,2018,230568.93
75048,32.97,-96.58,TX,26956,36827,4,3,2420,4619,2018,285806.68
75050,32.77,-97,TX,43422,106844,3,2,1878,3272,2018,160588.54
75051,32.73,-96.99,TX,39783,111053,3,2,1393,6720,2018,146259.38
75052,32.66,-97.03,TX,95745,198135,3,2,2113,6384,2018,204884.6
75054,32.6,-97.03,TX,15820,14422,4,3,3095,6244,2018,334610.25
75056,33.08,-96.91,TX,64243,98751,4,3,2622,5801,2018,305430.3
75057,33.05,-96.98,TX,16855,38202,3,3,1541,5001,2018,200847.24
75058,33.45,-96.74,TX,3369,5226,4,4,3271,1,2018,348848.63
